date,adj_close,adj_factor,adj_high,adj_low,adj_open,adj_volume,close,ex_dividend,high,low,open,split_ratio,volume
2018-07-13,191.27,1.0,191.84,190.9,191.16,6656672.0,191.27,0.0,191.84,190.9,191.16,1.0,6656672.0
2018-07-12,191.1,1.0,191.41,189.31,189.49,17897295.0,191.1,0.0,191.41,189.31,189.49,1.0,17897295.0
2018-07-11,187.88,1.0,189.7799,187.61,188.5,18831470.0,187.88,0.0,189.7799,187.61,188.5,1.0,18831470.0
2018-07-10,190.35,1.0,191.28,190.1801,190.71,15939149.0,190.35,0.0,191.28,190.1801,190.71,1.0,15939149.0
2018-07-09,190.58,1.0,190.68,189.3,189.5,19756634.0,190.58,0.0,190.68,189.3,189.5,1.0,19756634.0
2018-07-06,187.97,1.0,188.434,185.2,185.42,17485245.0,187.97,0.0,188.434,185.2,185.42,1.0,17485245.0
2018-07-05,185.4,1.0,186.41,184.28,185.26,16604248.0,185.4,0.0,186.41,184.28,185.26,1.0,16604248.0
2018-07-03,183.92,1.0,187.95,183.54,187.79,13954806.0,183.92,0.0,187.95,183.54,187.79,1.0,13954806.0
2018-07-02,187.18,1.0,187.3,183.42,183.82,17674788.0,187.18,0.0,187.3,183.42,183.82,1.0,17674788.0
2018-06-29,185.11,1.0,187.19,182.91,186.29,22737666.0,185.11,0.0,187.19,182.91,186.29,1.0,22737666.0
2018-06-28,185.5,1.0,186.21,183.8,184.1,17365235.0,185.5,0.0,186.21,183.8,184.1,1.0,17365235.0
2018-06-27,184.16,1.0,187.28,184.03,185.2278,25285328.0,184.16,0.0,187.28,184.03,185.2278,1.0,25285328.0
2018-06-26,184.43,1.0,186.53,182.54,182.99,24569201.0,184.43,0.0,186.53,182.54,182.99,1.0,24569201.0
2018-06-25,182.17,1.0,184.92,180.73,183.4,31663096.0,182.17,0.0,184.92,180.73,183.4,1.0,31663096.0
2018-06-22,184.92,1.0,186.15,184.7,186.12,27200447.0,184.92,0.0,186.15,184.7,186.12,1.0,27200447.0
2018-06-21,185.46,1.0,188.35,184.94,187.25,25711898.0,185.46,0.0,188.35,184.94,187.25,1.0,25711898.0
2018-06-20,186.5,1.0,187.2,185.73,186.35,20628701.0,186.5,0.0,187.2,185.73,186.35,1.0,20628701.0
2018-06-19,185.69,1.0,186.33,183.45,185.14,33578455.0,185.69,0.0,186.33,183.45,185.14,1.0,33578455.0
2018-06-18,188.74,1.0,189.22,187.2,187.88,18484865.0,188.74,0.0,189.22,187.2,187.88,1.0,18484865.0
2018-06-15,188.84,1.0,190.16,188.26,190.03,61719160.0,188.84,0.0,190.16,188.26,190.03,1.0,61719160.0
2018-06-14,190.8,1.0,191.57,190.22,191.55,21610074.0,190.8,0.0,191.57,190.22,191.55,1.0,21610074.0
2018-06-13,190.7,1.0,192.88,190.44,192.42,21638393.0,190.7,0.0,192.88,190.44,192.42,1.0,21638393.0
2018-06-12,192.28,1.0,192.611,191.15,191.385,16911141.0,192.28,0.0,192.611,191.15,191.385,1.0,16911141.0
2018-06-11,191.23,1.0,191.97,190.21,191.35,18308460.0,191.23,0.0,191.97,190.21,191.35,1.0,18308460.0
2018-06-08,191.7,1.0,192.0,189.77,191.17,26656799.0,191.7,0.0,192.0,189.77,191.17,1.0,26656799.0
2018-06-07,193.46,1.0,194.2,192.335,194.14,21347180.0,193.46,0.0,194.2,192.335,194.14,1.0,21347180.0
2018-06-06,193.98,1.0,194.08,191.92,193.63,20933619.0,193.98,0.0,194.08,191.92,193.63,1.0,20933619.0
2018-06-05,193.31,1.0,193.94,192.36,193.065,21565963.0,193.31,0.0,193.94,192.36,193.065,1.0,21565963.0
2018-06-04,191.83,1.0,193.42,191.35,191.635,26266174.0,191.83,0.0,193.42,191.35,191.635,1.0,26266174.0
2018-06-01,190.24,1.0,190.26,187.75,187.9912,23442510.0,190.24,0.0,190.26,187.75,187.9912,1.0,23442510.0
2018-05-31,186.87,1.0,188.23,186.14,187.22,27482793.0,186.87,0.0,188.23,186.14,187.22,1.0,27482793.0
2018-05-30,187.5,1.0,188.0,186.78,187.72,18690547.0,187.5,0.0,188.0,186.78,187.72,1.0,18690547.0
2018-05-29,187.9,1.0,188.75,186.87,187.6,22514075.0,187.9,0.0,188.75,186.87,187.6,1.0,22514075.0
2018-05-25,188.58,1.0,189.65,187.65,188.23,17460963.0,188.58,0.0,189.65,187.65,188.23,1.0,17460963.0
2018-05-24,188.15,1.0,188.84,186.21,188.77,23233975.0,188.15,0.0,188.84,186.21,188.77,1.0,23233975.0
2018-05-23,188.36,1.0,188.5,185.76,186.35,20058415.0,188.36,0.0,188.5,185.76,186.35,1.0,20058415.0
2018-05-22,187.16,1.0,188.88,186.78,188.375,15240704.0,187.16,0.0,188.88,186.78,188.375,1.0,15240704.0
2018-05-21,187.63,1.0,189.27,186.9106,188.0,18400787.0,187.63,0.0,189.27,186.9106,188.0,1.0,18400787.0
2018-05-18,186.31,1.0,187.8102,186.13,187.19,18297728.0,186.31,0.0,187.8102,186.13,187.19,1.0,18297728.0
2018-05-17,186.99,1.0,188.91,186.36,188.0,17294029.0,186.99,0.0,188.91,186.36,188.0,1.0,17294029.0
2018-05-16,188.18,1.0,188.46,186.0,186.07,19183064.0,188.18,0.0,188.46,186.0,186.07,1.0,19183064.0
2018-05-15,186.44,1.0,187.07,185.1,186.78,23695159.0,186.44,0.0,187.07,185.1,186.78,1.0,23695159.0
2018-05-14,188.15,1.0,189.53,187.86,189.01,20778772.0,188.15,0.0,189.53,187.86,189.01,1.0,20778772.0
2018-05-11,188.59,0.996144094654553,190.06,187.45,189.49,26212221.0,188.59,0.73,190.06,187.45,189.49,1.0,26212221.0
2018-05-10,189.307223748151,1.0,189.635951299387,186.926439361927,187.016092330446,27989289.0,190.04,0.0,190.37,187.65,187.74,1.0,27989289.0
2018-05-09,186.637557574477,1.0,186.677403338263,184.505809211916,185.830680857807,23211241.0,187.36,0.0,187.4,185.22,186.55,1.0,23211241.0
2018-05-08,185.33260881048,1.0,185.501953306571,182.956805144729,184.276696070146,28402777.0,186.05,0.0,186.22,183.665,184.99,1.0,28402777.0
2018-05-07,184.446040566237,1.0,186.94636224382,184.037621487429,184.46596344813,42451423.0,185.16,0.0,187.67,184.75,185.18,1.0,42451423.0
2018-05-04,183.121168920347,1.0,183.539549440101,177.482993344602,177.562684872174,56201317.0,183.83,0.0,184.25,178.17,178.25,1.0,56201317.0
2018-05-03,176.207928903444,1.0,176.815576801183,173.768471630044,175.201823367843,34068180.0,176.89,0.0,177.5,174.4411,175.88,1.0,34068180.0
2018-05-02,175.889162793154,1.0,177.064612824847,173.129843650961,174.549348985844,66539371.0,176.57,0.0,177.75,173.8,175.225,1.0,66539371.0
