year,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin,stock_year_change,close_on_up
2007,,3076800839.0,0.125185,,,,,-418199161.0,,5006000000.0,327000000.0,5333000000.0,735000000.0,,,,,,,,,,122335673772.3,,,,4.9774,35.0031,0.0,0.199983,,,,,,,,,,,,,,,,,,,,,,,,,0.331679,0.21698299999999998,0.179307,0.203678,0.1422,0.668321,0.120555,0.031817000000000005,0.152372,0.698162,1.0,0.301838,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7.442177,,,,,,,,,,,,,,,,,,,,,,,,,,3076800839.0,0.125185,0.203678,1.2955151234210354,0.4940239043824701
2008,0.525389,5694971834.1,0.151902,-2193000000.0,-17.0958,,,-424028165.9,-24490000000.0,8947000000.0,496000000.0,9443000000.0,1091000000.0,-3466000000.0,18645000000.0,18645000000.0,0.0,0.0,-24490000000.0,22297000000.0,24.7157,24.1703,2107853175.7,-22382146824.3,0.0945,0.0967,0.0562,0.3445,0.0,0.41470799999999997,,,,,,,,0.7706729999999999,0.787255,0.8509389999999999,0.750787,0.725191,0.754296,,,,,,,,,,,,0.352004,0.251874,0.22210700000000003,0.238644,0.16321300000000002,0.647996,0.10031699999999999,0.029580000000000002,0.129898,0.683916,1.0,0.31608400000000003,1.0365,15.4794,47.7289,15.2713,4.4011,23.5798,7.6474,82.9341,-51.7069,-1.0984,1.6222,1.6222,0.0,0.0,,0.017314,,,0.274432,,0.24735300000000002,0.169169,0.0,0.274432,0.0,0.0,8.7956,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.148,,,,,,,,2.6411,2.1594,-0.092449,0.49731899999999996,0.49731899999999996,5694971834.1,0.151902,0.238644,-0.5716866562954777,0.5019762845849802
2009,0.14440799999999998,8012506215.8,0.18675,-2352000000.0,-18.8801,-159000000.0,8171506215.8,-222493784.2,-33992000000.0,12066000000.0,734000000.0,12800000000.0,1144000000.0,-3415000000.0,20049000000.0,20049000000.0,0.0,0.0,-33992000000.0,31640000000.0,34.884,34.3846,3013744760.4,-30978255239.6,0.0953,0.0966,0.0702,0.366,0.0,0.390354,,,,,,,,0.355501,0.348608,0.40694400000000003,0.345808,0.339233,0.05867000000000001,,-0.072503,,,,,,,-0.10446099999999998,,,0.401398,0.298334,0.27362800000000004,0.28122600000000003,0.191936,0.5986020000000001,0.096702,0.031069,0.127771,0.682496,1.0,0.317504,1.0256,14.8383,53.2842,15.8643,4.6188,24.5985,6.8501,79.0244,-47.5758,-1.0843,1.5513,1.5513,0.0,0.0,,0.007609,,,0.305356,,0.288412,0.19684000000000001,0.0,0.305356,0.0,0.0,8.880245,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0503,,,,,,,,2.7425,2.4788,-0.07959400000000001,0.46728800000000004,0.46728800000000004,8012506215.8,0.18675,0.28122600000000003,1.453795994410813,0.5357142857142857
2010,0.520219,13895847087.4,0.21304499999999998,-3220000000.0,-23.4117,-868000000.0,14763847087.4,-117152912.6,-51011000000.0,18540000000.0,1027000000.0,19567000000.0,2005000000.0,-4664000000.0,20956000000.0,20956000000.0,0.0,0.0,-51011000000.0,47791000000.0,51.681999999999995,50.5109,4925024696.2,-46085975303.8,0.1031,0.1054,0.0755,0.3515,0.0,0.406466,,,,,,,,0.528672,0.5365489999999999,0.73427,0.701639,0.668502,0.8303969999999999,0.806747,-0.369048,0.142514,0.10491800000000001,0.103046,0.148267,0.14513399999999999,0.139955,0.160592,,-0.18035199999999998,0.393775,0.299992,0.28187,0.28424699999999997,0.21484099999999998,0.606225,0.084584,0.027320999999999998,0.11190499999999999,0.755825,1.0,0.244175,1.0633,14.7052,52.5113,16.8933,4.4892,24.8211,6.9509,81.306,-49.534,-1.0701,1.5445,1.5445,0.0,0.0,,0.0027559999999999998,,,0.352835,,0.30224,0.22844099999999998,0.0,0.352835,0.0,0.0,9.274314,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8158,,,,,,,,2.0113,1.7153,-0.071506,0.321288,0.321288,13895847087.4,0.21304499999999998,0.28424699999999997,0.5113151853066602,0.5158730158730159
2011,0.659624,25607495395.4,0.23656100000000002,-4955000000.0,-26.4829,-1735000000.0,27342495395.4,-314504604.6,-81570000000.0,34205000000.0,1814000000.0,36019000000.0,4260000000.0,-8934000000.0,17018000000.0,17018000000.0,0.0,0.0,-81570000000.0,76615000000.0,81.7973,77.0655,6899571975.3,-74670428024.7,0.0901,0.0956,0.0637,0.2662,0.0,0.536721,,,,,,,,0.8408030000000001,0.84493,0.842816,0.8498540000000001,0.8270629999999999,1.0182309999999999,0.8519899999999999,-0.53882,0.079016,0.10912999999999999,0.10785399999999999,0.097107,0.098064,0.08591599999999999,0.14477,-0.003042,0.272714,0.404789,0.332742,0.312151,0.315984,0.23946599999999998,0.5952109999999999,0.070199,0.022438999999999997,0.092638,0.757842,1.0,0.24215799999999998,1.1302,19.9005,70.532,17.2577,4.8359,18.3412,5.175,75.4773,-51.9611,-1.0657,1.5397,1.5397,0.0,0.0,,0.004744,,,0.416732,,0.357132,0.27065,0.0,0.416732,0.0,0.0,8.809624000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9358,,,,,,,,1.6084,1.3468,-0.08253200000000001,0.157212,0.157212,25607495395.4,0.23656100000000002,0.315984,0.24370470458174745,0.4880952380952381
2012,0.44581499999999996,41342335473.3,0.26415500000000003,-3041000000.0,-39.1466,1914000000.0,39428335473.3,-390664526.7,-121251000000.0,55763000000.0,3277000000.0,59040000000.0,8295000000.0,-10018000000.0,19111000000.0,19111000000.0,0.0,0.0,-121251000000.0,118210000000.0,17.8633,17.0535,4414555996715.0,4293304996715.0,37.345,39.1184,28.2066,105.7809,0.217099,0.009453,,27.4319,72.7186,76.992,103.8477,84.4208,108.8888,0.639135,0.630259,0.614462,0.609945,0.609945,0.355112,0.442017,0.386276,0.051716,0.044956,0.039172000000000005,0.042843,0.039867,0.039867,-0.024794,0.029302999999999996,0.44456599999999996,0.438712,0.377233,0.35296,0.356295,0.266651,0.561288,0.06415,0.021603,0.085753,0.7483989999999999,1.0,0.251601,1.0704,19.2046,112.12,13.4752,4.9066,19.0058,3.2554,74.389,-52.1277,-1.041,1.501,1.501,0.0,0.0,,0.0038520000000000004,,,0.428415,,0.38137,0.28541700000000003,0.0,0.428415,0.059616999999999996,0.059616999999999996,6.130922,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48.6528,,,,,,,,1.4958,1.2408,-0.06401,0.122109,0.122109,41342335473.3,0.26415500000000003,0.356295,0.31163400192005897,0.492
2013,0.092021,36183350872.3,0.21170999999999998,-6252000000.0,-36.7825,-3211000000.0,39394350872.3,-853649127.7,-129801000000.0,50155000000.0,6757000000.0,56912000000.0,8165000000.0,-10918000000.0,29628000000.0,29628000000.0,16960000000.0,16960000000.0,-129801000000.0,140509000000.0,18.9445,18.0619,3148318813500.0,3018517813500.0,25.4823,26.7276,18.4209,85.0047,1.553452,0.011764,,17.6614,53.0383,60.1838,83.4228,56.2464,76.6231,-0.036043,-0.10056799999999999,-0.124787,-0.112525,-0.112525,0.055254,-0.0008619999999999999,-1.055903,0.00889,0.000915,-0.014733000000000001,-0.022399000000000002,-0.018835,-0.018835,0.014594999999999999,0.040929,0.008878,0.376245,0.332994,0.286695,0.293459,0.216705,0.6237550000000001,0.06336699999999999,0.026182999999999998,0.08955,0.738451,1.0,0.261549,0.8923,14.2235,83.4489,10.6655,4.8967,25.6617,4.3739,74.54,-44.5044,-1.0384,1.5845,1.5845,0.1373,0.1373,,0.006801000000000001,,,0.306396,,0.261862,0.19337200000000002,0.0,0.306396,0.28522800000000004,0.902449,6.572688,0.0,0.12070399999999999,0.12070399999999999,0.0,0.0,0.879296,0.298,-2.2807,0.298,0.4687,-3.5873,0.4687,25.138,,,,,,,,1.6786,1.4015,-0.06388200000000001,0.173354,0.173354,36183350872.3,0.21170999999999998,0.293459,0.038365461945725834,0.48412698412698413
2014,0.06954,38786035375.7,0.21218299999999998,-8397000000.0,-24.9567,-2145000000.0,40931035375.7,-723964624.3,-119944000000.0,53483000000.0,7946000000.0,61429000000.0,9571000000.0,-13686000000.0,11391000000.0,5083000000.0,35295000000.0,28987000000.0,-119944000000.0,146842000000.0,18.2187,16.7883,616858297250.0,496914297250.0,5.53,6.0012,3.3746,15.6127,0.925695,0.06405,,2.7184,8.0892,9.2911,12.8117,8.3217,12.1403,0.079368,0.066354,0.07193,0.066771,0.13556300000000002,0.112678,0.039008,-0.34309,0.026108,0.025286000000000003,0.025481999999999998,0.021384999999999998,0.02477,0.00624,0.059286,-0.07345399999999999,0.328777,0.38588,0.336054,0.287223,0.292585,0.216144,0.61412,0.065609,0.033048,0.09865700000000001,0.738739,1.0,0.261261,0.8331,11.9622,57.9396,9.8221,4.2714,30.5127,6.2997,85.4527,-48.6403,-1.0623,1.8666,1.8666,0.2599,0.3164,,0.005797999999999999,,,0.336118,,0.243748,0.180066,0.0,0.336118,0.2816,1.420552,6.238951,0.042957999999999996,0.197403,0.24036,0.0,0.0,0.75964,0.5746,-1.9526,0.4719,0.91,-3.0925,0.7474,5.1791,,,,,,,,1.0801,0.8242,-0.07487100000000001,0.062315999999999996,0.027807,38786035375.7,0.21218299999999998,0.292585,0.41968709635184065,0.5119047619047619
2015,0.278563,52447833138.0,0.22440900000000003,-21983000000.0,-15.3861,-13586000000.0,66033833138.0,-946166862.0,-141338000000.0,72515000000.0,11257000000.0,83772000000.0,11247000000.0,-21833000000.0,19768000000.0,8768000000.0,64329000000.0,53329000000.0,-141337000000.0,183684000000.0,20.6031,19.0479,664522944990.0,523185944990.0,5.5676,6.0222,2.8433,12.4456,0.022371000000000002,0.080349,,2.2386,6.2454,7.2149,9.9754,6.4379,7.922999999999999,0.363721,0.35585100000000003,0.35223499999999996,0.351405,0.429457,0.36094299999999996,0.613295,-1.617959,0.041803,0.059976,0.052086,0.051306,0.052368,0.041808,0.0027760000000000003,0.098162,0.033842000000000004,0.400599,0.358437,0.304773,0.310271,0.228458,0.5994010000000001,0.06131,0.034516000000000005,0.095826,0.736317,1.0,0.263683,0.8951,13.6241,62.8202,10.8465,4.2654,26.7907,5.8102,85.572,-52.971000000000004,-1.1316,2.2615,2.2615,0.4468,0.539,,0.007242,,,0.46248199999999995,,0.277737,0.204503,0.0,0.46248199999999995,0.216522,0.876765,7.225571,0.059885,0.29033000000000003,0.35021599999999997,0.0,0.0,0.649784,0.7679,-1.6872,0.6366,1.2265,-2.6948,1.0168,4.4422,,,,,,,,1.1088,0.8925,-0.093417,0.084582,0.037516,52447833138.0,0.22440900000000003,0.310271,-0.03897295612793124,0.46825396825396826
2016,-0.077342,44683511829.5,0.20721399999999998,-22304000000.0,-9.7383,-321000000.0,45004511829.5,-1003488170.5,-150553000000.0,61372000000.0,10505000000.0,71877000000.0,12734000000.0,-27687000000.0,39468000000.0,27863000000.0,87032000000.0,75427000000.0,-150553000000.0,215281000000.0,23.3168,21.7496,619936671510.0,469383671510.0,4.8339,5.1822,2.8749,13.5692,0.024567,0.073696,,2.1767,6.5304,7.6482,10.5046,7.1309,10.4297,-0.141993,-0.153665,-0.148039,-0.144342,-0.09869800000000001,-0.19001800000000002,-0.318463,-0.014602,-0.021103999999999998,-0.045737,-0.044733999999999996,-0.044922000000000004,-0.044145,-0.053530999999999995,0.041964,0.021061,-0.112752,0.39076,0.333321,0.278354,0.284605,0.21186799999999997,0.60924,0.065823,0.046582,0.11240499999999999,0.7444270000000001,1.0,0.255573,0.7047,13.2282,58.6369,8.716000000000001,3.61,27.5926,6.2247,101.1074,-67.29,-1.1789,2.4718,2.4718,0.5881,0.6786,,0.006876,,,0.369033,,0.200552,0.149296,0.0,0.369033,0.26594,0.9164969999999999,5.169153,0.053905999999999996,0.350365,0.40427199999999996,0.0,0.0,0.5957279999999999,1.2108,-2.0946,1.0494,1.9477,-3.3693,1.6880000000000002,3.7462,,,,,,,,1.3527,1.2208,-0.128395,0.183028,0.129211,44683511829.5,0.20721399999999998,0.284605,0.15385791637858726,0.5833333333333334
