year,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin,stock_year_change,close_on_up
2007,,472393939.4,0.031843,,,,,-3606060.6,,647000000.0,35000000.0,682000000.0,224000000.0,,,,,,,,,,39279360000.0,,,,2.6477,82.5197,0.0,0.012118,,,,,,,,,,,,,,,,,,,,,,,,,0.138928,0.045972000000000006,0.044152,0.043613,0.032086,0.861072,0.016447999999999997,0.055139999999999995,0.094776,0.721212,1.0200930000000001,0.27878800000000004,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.521008,6.272321,,,,,,,,,,,,,,8.4026,6.135,5.4935,3.2259,18.2468,15.3377,,,,,,,472393939.4,0.031843,0.044489,1.3950361944157188,0.5219123505976095
2008,0.29194499999999995,611174250.8,0.031888,-646000000.0,-29.6687,,,-33825749.2,-3318000000.0,889000000.0,-57000000.0,832000000.0,333000000.0,-2316000000.0,1411000000.0,1411000000.0,409000000.0,409000000.0,-3318000000.0,3081000000.0,6.1852,5.1713,22152960000.0,18834960000.0,8.2908,9.9163,1.1558,34.3457,0.0,0.029116000000000003,,0.9827,22.6382,21.1867,30.8177,11.099,,0.219941,0.37403400000000003,0.293781,0.355042,0.330357,0.20782899999999999,,,,,,,,,,,,0.136283,0.043410000000000004,0.043932,0.046383999999999995,0.033652999999999995,0.863717,0.014556999999999999,0.053898,0.092351,0.715871,1.013498,0.27414,2.3053,23.1753,11.8327,22.4426,4.606,15.7495,30.8466,79.2443,-32.6482,-1.2418,3.1115,3.1535,0.1531,0.1531,,0.010195000000000001,,,0.241392,,0.106928,0.07758,0.0,0.241392,0.0,0.155039,5.096096,0.0,0.132749,0.132749,0.0,0.0,0.867251,0.4916,-3.988,0.4916,0.6692,-5.4289,0.6692,5.0947,12.5211,8.6081,7.831,3.9179,23.9014,19.2113,,1.2973,0.9595,-0.12083900000000002,0.07362,0.07362,611174250.8,0.031888,0.04701,-0.4621919244887257,0.4624505928853755
2009,0.278775,882973298.9,0.036026,-1109000000.0,-27.9305,-463000000.0,1345973298.9,-19026701.1,-6366000000.0,1158000000.0,-211000000.0,947000000.0,373000000.0,-3933000000.0,2433000000.0,2433000000.0,0.0,0.0,-6366000000.0,5257000000.0,11.8937,9.1018,59457840000.0,53091840000.0,11.3102,14.7795,2.426,65.9178,0.0,0.01517,,2.1662,56.0632,45.8479,60.1285,16.1226,39.4449,0.138221,0.302587,0.444716,0.39845,0.369128,0.940483,,-0.7167180000000001,,,,,,,0.461607,,,0.141948,0.038639,0.046064999999999995,0.047248000000000005,0.036802999999999995,0.858052,0.017544999999999998,0.050594,0.09588300000000001,0.7769159999999999,1.002591,0.217916,2.2153,27.0072,11.7815,22.8629,4.5722,13.5149,30.9807,79.8296,-35.334,-1.2213,2.7906,2.7979,0.0,0.0,,0.0039299999999999995,,,0.227519,,0.10466900000000001,0.08152899999999999,0.0,0.227519,0.0,0.0,8.828418,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4493,34.0588,25.9698,23.0882,14.9992,96.8529,85.8824,39.5874,1.3304,0.9986,-0.160472,0.09927000000000001,0.09927000000000001,882973298.9,0.036026,0.047369999999999995,1.6196689386562806,0.5119047619047619
2010,0.395569,1075397461.6,0.031441000000000004,-1898000000.0,-22.7496,-789000000.0,1864397461.6,-76602538.4,-8762000000.0,1485000000.0,-337000000.0,1148000000.0,979000000.0,-5387000000.0,3375000000.0,3375000000.0,0.0,0.0,-8762000000.0,6864000000.0,15.0526,12.0943,82080000000.0,73318000000.0,11.958,14.883,2.3997,71.25,0.0,0.014034999999999999,,2.1436,63.8659,49.3724,68.1776,20.978,39.3253,0.21224899999999997,0.282383,0.217927,0.27716199999999996,0.240196,0.061341999999999994,0.385167,-0.7114520000000001,0.111349,0.037975,0.023431999999999998,0.006698000000000001,0.027654,0.020161000000000002,0.334989,,-3.807692,0.138726,0.033563,0.041106000000000004,0.043416,0.03368,0.861274,0.01684,0.050696,0.09762,0.7695390000000001,1.008081,0.23513699999999998,2.0978,26.5662,10.9656,18.4687,4.3144,13.7393,33.286,84.5996,-37.5743,-1.2481,2.6904,2.7121,0.0,0.0,,0.010126999999999999,,,0.190083,,0.091076,0.070653,0.0,0.190083,0.0,0.0,3.5699690000000004,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5215,38.0769,27.5743,12.9744,2.4717,89.6154,64.5128,47.8051,1.3254,0.9978,-0.157496,0.098673,0.098673,1075397461.6,0.031441000000000004,0.043767,0.3211009174311927,0.5
2011,0.405596,593432548.2,0.012343000000000002,-1564000000.0,-27.7741,334000000.0,259432548.20000005,-37567451.8,-9321000000.0,938000000.0,1083000000.0,2021000000.0,1811000000.0,-6982000000.0,2594000000.0,2594000000.0,255000000.0,255000000.0,-9321000000.0,8012000000.0,16.8265,12.5857,79799100000.0,70478100000.0,10.2874,13.7537,1.6598,126.4645,0.0,0.007906999999999999,,1.4659,34.8729,75.1366,118.7635,18.0574,271.6625,0.7604529999999999,-0.36835,-0.44817399999999996,-0.45225699999999996,-0.45849799999999996,0.11673800000000001,-0.860849,0.175975,0.102861,0.8852610000000001,-0.193465,-0.26652600000000004,-0.274713,-0.278947,0.25016,4.756086,-2.0861110000000003,0.12922999999999998,0.042037,0.01793,0.01951,0.013125,0.87077,0.016890000000000002,0.060507000000000005,0.111301,0.675589,0.9957360000000001,0.31156300000000003,2.1816,23.1251,10.2182,14.0761,4.3617,15.7837,35.7205,83.6822,-32.1779,-1.2368,3.0145,3.0016,0.0329,0.0329,,0.004155,,,0.086314,,0.042564,0.028633,0.0,0.086314,0.0,0.438986,2.155163,0.0,0.031827,0.031827,0.0,0.0,0.968173,0.1262,-4.6121,0.1262,0.4297,-15.7069,0.4297,4.9885,14.4308,9.1297,-13.4308,-18.7318,60.0462,32.1846,3.9913,1.1741,0.8155,-0.145225,0.053954999999999996,0.053954999999999996,593432548.2,0.012343000000000002,0.019427,-0.045597397585047196,0.4880952380952381
2012,0.27073200000000003,144147058.8,0.002359,-172000000.0,-70.3836,1392000000.0,-1247852941.2,183147058.8,-8364000000.0,596000000.0,2159000000.0,2755000000.0,3785000000.0,-9154000000.0,2294000000.0,2294000000.0,3084000000.0,3084000000.0,-8364000000.0,11276000000.0,18.0839,12.4503,113644110000.0,105280110000.0,13.8726,20.1497,1.8602,,0.0,-0.000343,,1.7233,38.2142,176.6445,730.3660000000001,25.1866,,0.363187,-0.364606,-0.757096,-1.061807,-1.065693,0.070971,-5.809932,0.890026,0.06701499999999999,-0.110142,0.148362,-0.180488,-2.0,-2.285714,0.24109299999999997,-0.810828,-1.0746200000000001,0.142455,0.045094999999999996,0.011065,0.009756,-0.000638,0.8575450000000001,0.017269,0.074706,0.13139,-0.07169099999999999,0.912752,0.7867649999999999,2.1127,19.1274,9.5056,10.6462,4.2832,19.0825,38.3985,85.2166,-27.7355,-1.1088,3.6261,3.3097,0.3765,0.3765,,-0.020712,,,-0.0048909999999999995,,0.020611,-0.001349,0.0,-0.0048909999999999995,0.0,-24.615385,1.104359,0.0,0.273501,0.273501,0.0,0.0,0.726499,1.1194,-3.0359,1.1194,21.3948,-58.0241,21.3948,4.9027,6.4783,1.5668,-34.663000000000004,-39.5745,45.4348,4.2935,-13.5636,1.1207,0.8033,-0.149837,0.037549,0.037549,473200000.0,0.007745999999999999,0.008904,0.4262891579964752,0.54
2013,0.218667,507954545.5,0.006823,490000000.0,468.2516,662000000.0,-154045454.5,233954545.5,-9256000000.0,609000000.0,3253000000.0,3862000000.0,3444000000.0,-10802000000.0,1645000000.0,1645000000.0,3191000000.0,3191000000.0,-9256000000.0,12937000000.0,20.9591,15.2495,185437350000.0,176181350000.0,19.027,26.1511,2.4907,676.7786,0.0,0.001478,359.5538,2.3664,45.6192,289.2961,346.8447,32.1792,,0.40181500000000003,0.021812,2.523863,8.025641,7.555556,0.309809,0.876552,3.848837,0.061568,0.123328,0.25567,0.443388,1.075758,1.034483,0.099839,0.9136559999999999,-0.8896639999999999,0.15696,0.051872,0.010006000000000001,0.00818,0.0036799999999999997,0.84304,0.016694999999999998,0.08817799999999999,0.146954,0.541502,0.8308700000000001,0.318182,2.0478,17.3467,9.3388,8.2683,4.4122,21.0415,39.0843,82.7248,-22.5991,-0.9823,4.0536,3.3680000000000003,0.3274,0.3274,3.1946830000000004,-0.026556,3.221238,-3.164133,0.03055,-0.31437800000000005,0.016751,0.007536,0.0,0.03055,0.0,0.0,1.589721,0.0,0.24665700000000002,0.24665700000000002,0.0,0.0,0.753343,0.8263,-2.3967,0.8263,6.2821,-18.2221,6.2821,5.6879,4.3191,3.6025,-20.1064,-20.823,38.8298,14.4043,-1.0925,1.0716,0.7491,-0.145087,0.022095,0.022095,507954545.5,0.006823,0.006795999999999999,0.5572867853795691,0.5158730158730159
2014,0.19524,445801801.8,0.0050100000000000006,1590000000.0,85.5654,1100000000.0,-654198198.2,686801801.8,-9151000000.0,60000000.0,4746000000.0,4806000000.0,4893000000.0,-14178000000.0,3238000000.0,3238000000.0,8265000000.0,8265000000.0,-9151000000.0,19006000000.0,23.2489,16.0649,143381700000.0,134230700000.0,13.349,19.3185,1.6112,,0.0,-0.0016809999999999998,84.4218,1.5084,27.9298,2237.1783,301.0995,19.6186,,0.24443299999999998,-0.9014780000000001,-0.122359,-1.879562,-1.881356,0.24968,-3.246787,2.244898,0.043896,0.099268,0.363636,0.7983939999999999,-0.12093,-0.10638299999999999,0.199299,0.648868,-0.757326,0.173844,0.054007000000000006,0.002,0.000674,-0.002708,0.826156,0.018935,0.104228,0.171843,2.1711709999999997,-1.85,-1.504505,1.8801,17.1477,9.3594,6.3754,4.6542,21.2857,38.9983,78.4235,-18.1396,-0.8985,4.6207,-8.5483,0.7695,0.7695,0.42865600000000004,-0.074624,0.5032800000000001,-0.452183,-0.023527,-0.629037,0.001268,-0.005092,0.0,-0.023527,0.0,0.0,1.398324,0.0,0.434863,0.434863,0.0,0.0,0.565137,1.7197,-1.9041,1.7197,18.5396,-20.5271,18.5396,3.7234,0.2857,2.1229,-23.0143,-21.1771,32.580999999999996,9.281,-3.1152,1.1153,0.8198,-0.159325,0.036387,0.036387,124600000.0,0.0014,-0.001247,-0.22179037111334,0.47619047619047616
2015,0.202477,880098214.3,0.008225,1803000000.0,63.0746,213000000.0,667098214.3,284098214.3,-11581000000.0,1977000000.0,6281000000.0,8258000000.0,5387000000.0,-17990000000.0,1818000000.0,1818000000.0,8227000000.0,8227000000.0,-11581000000.0,21611000000.0,28.0587,20.1782,322399530000.0,310818530000.0,24.0884,33.4961,3.0129,540.9388,0.0,0.001849,172.3896,2.9047,37.6385,157.2173,353.1635,25.8176,465.9262,0.7182689999999999,31.95,0.9741920000000001,3.473029,3.4038459999999997,0.7595729999999999,2.019719,0.133962,0.063805,0.124455,0.3777,0.52283,0.8170729999999999,0.760563,0.225593,-0.246162,-0.7112890000000001,0.20508200000000001,0.077173,0.020868,0.018476,0.00557,0.794918,0.017924000000000002,0.11719,0.18421400000000002,0.380102,0.793121,0.605867,1.7946,18.9963,9.175,5.5151,4.6159,19.2143,39.7822,79.0753,-20.0787,-0.8594,4.9431,3.9205,0.6147,0.6147,0.5187729999999999,-0.027407,0.54618,-0.46936400000000006,0.049408999999999995,0.39321999999999996,0.033157,0.009996,0.0,0.049408999999999995,0.0,0.0,2.234825,0.0,0.380686,0.380686,0.0,0.0,0.619314,0.9962,-1.4024,0.9962,9.3478,-13.1588,9.3478,5.6083,4.3072,1.9174,-7.4292,-9.818999999999999,26.2288,14.4924,1.4534,1.0536,0.7514,-0.168121,0.01699,0.01699,1563100000.0,0.014608000000000001,0.014653,1.1622944526201293,0.5
2016,0.270835,2653356115.1,0.019512,998000000.0,97.0989,-805000000.0,3458356115.1,282356115.1,-18287000000.0,4276000000.0,8116000000.0,12392000000.0,7804000000.0,-24016000000.0,1965000000.0,1965000000.0,7694000000.0,7694000000.0,-18287000000.0,26979000000.0,39.845,32.0269,362937080000.0,344650080000.0,18.8197,23.4138,2.6689,153.0734,0.0,0.006533,345.3408,2.5344,27.8123,80.601,129.8921,19.9543,99.6572,0.500605,1.162873,2.014841,2.9781880000000003,2.92,0.43467100000000003,4.184178,-0.446478,0.062465,0.066896,0.057369,0.093596,0.12690099999999999,0.11872100000000001,0.17321,2.3535049999999997,-0.8693719999999999,0.221367,0.091126,0.030782,0.031444,0.017435,0.778633,0.019112,0.118283,0.190584,0.6091979999999999,0.9101959999999999,0.366136,1.8358,19.4364,9.7571,5.3378,4.6333,18.7792,37.4087,78.7781,-22.5903,-0.9143,4.5348,4.1276,0.39899999999999997,0.39899999999999997,1.8945779999999999,-0.018907,1.9134849999999999,-1.749425,0.145153,2.469372,0.057726,0.032008,0.0,0.145153,0.0,0.0,2.2132240000000003,0.0,0.28518499999999997,0.28518499999999997,0.0,0.0,0.714815,0.6209,-1.4757,0.6209,2.8997,-6.892,2.8997,5.3068,8.8347,5.4821,-7.2893,-10.6418,35.686,19.562,7.1454,1.0448,0.7833,-0.17660499999999998,0.01445,0.01445,2653356115.1,0.019512,0.02862,0.1425894040744184,0.49206349206349204
