year,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin
2007,,3766913871.4,0.227005,,,,,-436806128.6,,5673980000.0,967658000.0,6641638000.0,2402840000.0,,,,,,,,,,218715124000.0,,,,13.1804,52.0289,0.0,0.01922,,,,,,,,,,,,,,,,,,,,,,,,,0.599308,0.400244,0.3064,0.34193,0.253328,0.400692,0.165151,0.127756,0.292907,0.740877,1.0,0.259123,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.403577,,,,,,,,,,,,,,,,,,,,,,,,,,3766913871.4,0.227005,0.34193
2008,0.313488,4789588928.8,0.219746,12307931000.0,1.7709,,,562588928.8,-15930931000.0,6948000000.0,1500000000.0,8448000000.0,2359000000.0,2030321000.0,17876092000.0,17876092000.0,0.0,0.0,-15930931000.0,28238862000.0,88.9133,70.5363,97709640000.0,81778709000.0,3.4601,4.3616,4.4829,23.1156,0.0,0.043261,6.6444,3.752,9.6802,11.7701,17.0743,10.4137,,0.271975,0.224537,0.271489,0.005538,0.001505,0.35973,,,,,,,,,,,,0.604423,0.387594,0.304276,0.318774,0.193935,0.395577,0.082722,0.128143,0.300147,0.722194,0.842401,0.277806,0.6861,8.2492,,4.1644,48.4371,44.2467,0.0,7.5355,36.7111,-0.5641,1.125,0.9477,0.0,0.0,0.389147,-0.035314,0.424461,-0.239459,0.149687,,0.218714,0.13306,0.0,0.149687,0.0,0.0,3.328953,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2947,,,,,,,,8.7652,8.0309,0.093151,0.820155,0.820155,4789588928.8,0.219746,0.268536
2009,0.085107,6466321441.4,0.273406,11390000000.0,1.996,-917931000.0,7384252441.4,-53678558.6,-24614000000.0,8381000000.0,1524000000.0,9905000000.0,810000000.0,1935000000.0,26420000000.0,26420000000.0,0.0,0.0,-24614000000.0,36004000000.0,112.6886,94.9171,198083610000.0,173469610000.0,5.5017,6.5318,8.3753,30.3809,0.0,0.032915,15.23,7.3346,17.5133,20.698,26.8266,18.6206,23.4918,0.172467,0.206246,0.350079,0.542465,0.533434,0.186298,,-0.07458,,,,,,,0.069889,,,0.626062,0.418798,0.351444,0.354361,0.275675,0.373938,0.070526,0.120206,0.274618,0.77795,1.0,0.22205,0.6546,8.1272,,4.6932,44.8929,44.9108,0.0,8.1305,36.7803,-0.6311,1.1249,1.1249,0.0,0.0,0.545729,0.002648,0.543081,-0.342749,0.20298,0.623198,0.231953,0.180448,0.0,0.20298,0.0,0.0,11.501235,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.1964,,,,,,,,10.6178,10.0703,0.081815,1.117078,1.117078,6466321441.4,0.273406,0.354361
2010,0.239736,8178066413.5,0.278915,15819000000.0,2.1552,4429000000.0,3749066413.5,-326933586.5,-30422000000.0,10796000000.0,1396000000.0,12192000000.0,4018000000.0,1667000000.0,37392000000.0,31566000000.0,5826000000.0,0.0,-30422000000.0,52067000000.0,143.0281,120.4485,192030501000.0,161608501000.0,4.1528,4.9313,6.5492,22.5785,0.0,0.04429,10.2161,5.5117,13.2553,14.9693,19.7612,14.5843,43.1063,0.230893,0.288152,0.264717,0.304448,0.289074,0.189459,-0.492289,0.38885,0.06409,0.050853,0.056153,0.066308,0.071834,0.068643,0.07729,,0.16892,0.644726,0.415811,0.354047,0.3682,0.290065,0.355274,0.066914,0.128304,0.290679,0.787792,1.0,0.212208,0.5963,7.8926,,4.6526,29.8054,46.2459,0.0,12.2461,33.9998,-0.6692,1.1958,1.1958,0.0,0.126,0.60113,0.011881,0.589249,-0.394308,0.206821,0.275575,0.219547,0.172957,0.0,0.206821,0.0,0.09418,2.75784,0.111894,0.0,0.111894,0.0,0.0,0.888106,0.4779,-2.4952,0.0,0.7124,-3.72,0.0,12.3759,,,,,,,,4.1579,3.9993,0.056853,1.275263,1.076566,8178066413.5,0.278915,0.3682
2011,0.292759,9275665584.9,0.244708,18195000000.0,2.2288,2376000000.0,6899665584.9,-461334415.1,-39950000000.0,12326000000.0,1851000000.0,14177000000.0,3438000000.0,1699000000.0,47070000000.0,43845000000.0,6211000000.0,2986000000.0,-39950000000.0,64356000000.0,177.7048,150.4309,211338480000.0,171388480000.0,3.6347,4.2937,5.5755,21.7047,0.0,0.046073,9.4195,4.5215,12.0892,13.9046,18.4772,11.7671,24.8401,0.162812,0.141719,0.134213,0.144856,0.131129,0.314412,0.840369,0.150199,0.059954,0.034214,0.028967,0.034639,0.016919,0.014315,0.028093,0.378521,0.04013,0.652078,0.374014,0.309774,0.325181,0.256879,0.347922,0.071864,0.136183,0.342303,0.789956,1.0,0.210044,0.5813,7.8324,,4.3664,24.6275,46.6012,0.0,14.8209,31.7803,-0.6742,1.2494,1.2494,0.0514,0.1068,0.545403,0.013111,0.532292,-0.358845,0.186558,0.405696,0.189013,0.149312,0.0,0.186558,0.0,0.0,4.236475,0.050112,0.046398,0.09651,0.0,0.0,0.90349,0.4381,-2.8179,0.2106,0.6696,-4.307,0.3219,11.3212,,,,,,,,5.9192,5.6993,0.044823,1.241789,1.156708,9670643680.0,0.255128,0.325181
2012,0.214589,11045974289.9,0.239926,26995000000.0,2.0376,8800000000.0,2245974289.8999996,308974289.9,-44720000000.0,14469000000.0,2962000000.0,17431000000.0,3273000000.0,-122000000.0,48666000000.0,46117000000.0,5537000000.0,2988000000.0,-44720000000.0,77252000000.0,107.9054,80.8068,470131821800.0,425411821800.0,6.5556,8.754,10.2116,43.7861,0.0,0.022838,15.7589,9.2402,24.4055,29.4016,38.5128,25.5979,189.4108,0.229527,0.17386,0.190855,0.102701,-0.456989,0.141023,-0.674481,0.483649,-0.006495,0.100372,0.085528,0.080413,0.017147,-0.494051,0.046932,3.593028,-0.055557,0.626925,0.378614,0.300484,0.314277,0.233215,0.373075,0.07561,0.132127,0.326441,0.742069,1.0,0.201534,0.5534,6.9169,63.6148,4.2913,13.2123,52.7692,5.7377,27.6258,30.8811,-0.652,1.2812,1.2812,0.0417,0.0772,0.488868,-0.007298,0.496166,-0.323505,0.165363,0.099401,0.173936,0.129072,0.0,0.165363,0.0,0.0,5.077605,0.032996,0.038679,0.071675,0.0,0.0,0.928325,0.3177,-2.5655,0.1714,0.5013,-4.0485,0.2705,15.085,,,,,,,,4.2166,3.9529,-0.00265,1.05706,1.001694,11045974289.9,0.239926,0.314277
2013,0.205912,12749448393.0,0.229641,31761000000.0,1.8898,4766000000.0,7983448393.0,16448393.0,-55548000000.0,15899000000.0,3939000000.0,19838000000.0,7358000000.0,1170000000.0,59987000000.0,56978000000.0,5245000000.0,2236000000.0,-55548000000.0,92554000000.0,262.3105,209.5594,373023840660.0,317475840660.0,4.2725,5.3479,6.7189,29.2958,0.0,0.034135,9.9958,5.7183,16.0034,19.9683,24.9011,17.0146,39.7668,0.138087,0.098832,0.154217,0.185899,1.325495,0.122751,2.554559,0.176551,0.108274,-0.000252,-0.005504,0.004751,0.024377,4.711246,0.031454,-0.305917,0.066879,0.603865,0.357319,0.277437,0.28637,0.229345,0.396135,0.079829,0.128551,0.326429,0.800868,1.0,0.172275,0.5424,6.6224,,3.9128,9.8513,55.1159,0.0,37.051,18.0649,-0.6305,1.2873,1.2873,0.0256,0.0601,0.433979,-0.000328,0.434308,-0.27384,0.160139,0.271749,0.155326,0.124396,0.0,0.160139,0.0,0.0,2.535879,0.032511,0.024159,0.05667,0.0,0.0,0.94333,0.2644,-2.8001,0.1127,0.4114,-4.3569,0.1754,11.8424,,,,,,,,4.5817,4.2557,0.021074,1.080477,1.026279,12749448393.0,0.229641,0.28637
2014,0.1888,13017875890.8,0.197238,40748000000.0,1.8205,8987000000.0,4030875890.799999,-1118124109.2,-63112000000.0,17259000000.0,4979000000.0,22238000000.0,10959000000.0,-1384000000.0,63886000000.0,61877000000.0,5237000000.0,3228000000.0,-63112000000.0,109097000000.0,151.135,121.7317,364669552000.0,301557552000.0,3.5112,4.3593,5.5252,25.7972,1.070312,0.038764,7.4005,4.569,13.5605,17.4725,23.1649,13.0975,74.8119,0.12098,0.08554,0.021054,0.110186,-0.452634,0.233935,-0.495096,0.282957,0.03767,0.009854,-0.000811,-0.005968,0.110361,-0.502419,0.083482,-0.286954,0.094994,0.610748,0.336934,0.249936,0.261496,0.214179,0.389252,0.08865,0.148967,0.360813,0.819051,1.0,0.210847,0.5498,7.227,,3.2668,12.3277,50.5047,0.0,29.608,20.8967,-0.6207,1.256,1.256,0.0311,0.0504,0.359069,0.018846,0.340223,-0.211179,0.14789,0.111183,0.143761,0.117748,0.0,0.14789,0.0,0.0,2.100922,0.018415,0.029588,0.048003,0.0,0.0,0.951997,0.2355,-2.838,0.1452,0.4023,-4.8481,0.248,10.9791,,,,,,,,4.6878,4.4492,-0.020969,0.967955,0.937516,13017875890.8,0.197238,0.261496
2015,0.13618,16105912167.3,0.214777,46852000000.0,1.7121,6104000000.0,10001912167.3,-242087832.7,-73479000000.0,19651000000.0,5063000000.0,24714000000.0,9915000000.0,513000000.0,74029000000.0,70804000000.0,5220000000.0,1995000000.0,-73479000000.0,125551000000.0,173.6629,145.2085,539083129000.0,465604129000.0,4.48,5.3579,7.1888,34.0631,0.0,0.029357,9.9378,6.209,18.8397,23.6937,28.9089,17.5224,46.5515,0.111341,0.138594,0.237215,0.15648,0.110355,0.1541,1.481325,0.149799,0.044954,0.033886,0.035462,0.104892,0.020538,0.23794,-0.01494,0.205352,0.077256,0.624425,0.329568,0.258171,0.262052,0.218005,0.375575,0.081825,0.163784,0.366254,0.831917,1.0,0.168083,0.5421,7.1626,,2.8352,15.4493,50.959,0.0,23.6257,27.3333,-0.6093,1.234,1.234,0.0166,0.0434,0.367715,0.003545,0.36417,-0.221875,0.14584,0.228354,0.142065,0.118186,0.0,0.14584,0.002875,0.111757,2.67998,0.025687,0.01589,0.041577,0.0,0.0,0.958423,0.2112,-2.9732,0.0807,0.3241,-4.5622,0.1239,14.2938,,,,,,,,4.6667,4.4056,0.006841,0.987198,0.944192,16105912167.3,0.214777,0.262052
2016,0.203803,19127960579.7,0.211893,50760000000.0,1.8496,3908000000.0,15219960579.7,-350039420.3,-88276000000.0,24150000000.0,6144000000.0,30294000000.0,9972000000.0,2319000000.0,88652000000.0,88652000000.0,3935000000.0,3935000000.0,-88276000000.0,142971000000.0,198.7933,170.519,554239530000.0,465963530000.0,3.9863,4.6473,6.1397,28.4546,0.0,0.035144,9.1797,5.1618,15.3814,19.2946,24.3603,12.9305,30.6153,0.225783,0.228945,0.187636,0.191461,0.219352,0.356164,0.521705,0.083412,0.055356,0.068421,0.073667,0.004753,0.021502,0.018282,0.084377,0.148721,0.030032,0.610754,0.335586,0.262717,0.267525,0.21577,0.389246,0.077377,0.154511,0.348037,0.806542,1.0,0.193458,0.5732,7.027,92.5903,2.8545,17.6928,51.9427,3.9421,20.6298,35.255,-0.6237,1.2143,1.2143,0.0283,0.0283,0.391918,0.004328,0.38759,-0.241722,0.150196,0.311846,0.153354,0.123686,0.0,0.150196,0.0,0.189599,3.613718,0.0,0.027523,0.027523,0.0,0.0,0.972477,0.1299,-2.914,0.1299,0.2057,-4.615,0.2057,14.2128,,,,,,,,6.2908,5.9961,0.025689,0.982054,0.982054,19127960579.7,0.211893,0.267525
