date,adj_close,adj_factor,adj_high,adj_low,adj_open,adj_volume,close,ex_dividend,high,low,open,split_ratio,volume
2018-07-13,1190.6,1,1195.417,1180.0,1185.0,658220.0,1190.6,0.0,1195.417,1180.0,1185.0,1.0,658220.0
2018-07-12,1184.41,1,1184.41,1155.93,1159.89,1242775.0,1184.41,0.0,1184.41,1155.93,1159.89,1.0,1242775.0
2018-07-11,1153.9,1,1164.29,1141.0,1144.59,1119993.0,1153.9,0.0,1164.29,1141.0,1144.59,1.0,1119993.0
2018-07-10,1152.84,1,1159.59,1149.59,1156.98,798412.0,1152.84,0.0,1159.59,1149.59,1156.98,1.0,798412.0
2018-07-09,1154.05,1,1154.67,1143.42,1148.48,908969.0,1154.05,0.0,1154.67,1143.42,1148.48,1.0,908969.0
2018-07-06,1140.17,1,1140.93,1120.74,1123.58,996079.0,1140.17,0.0,1140.93,1120.74,1123.58,1.0,996079.0
2018-07-05,1124.27,1,1127.5,1108.48,1110.53,1066685.0,1124.27,0.0,1127.5,1108.48,1110.53,1.0,1066685.0
2018-07-03,1102.89,1,1135.82,1100.02,1135.82,679034.0,1102.89,0.0,1135.82,1100.02,1135.82,1.0,679034.0
2018-07-02,1127.46,1,1128.0,1093.8,1099.0,1188596.0,1127.46,0.0,1128.0,1093.8,1099.0,1.0,1188596.0
2018-06-29,1115.65,1,1128.23,1115.0,1120.0,1315121.0,1115.65,0.0,1128.23,1115.0,1120.0,1.0,1315121.0
2018-06-28,1114.22,1,1122.31,1096.01,1102.09,1072438.0,1114.22,0.0,1122.31,1096.01,1102.09,1.0,1072438.0
2018-06-27,1103.98,1,1131.84,1103.62,1121.34,1293892.0,1103.98,0.0,1131.84,1103.62,1121.34,1.0,1293892.0
2018-06-26,1118.46,1,1133.21,1116.66,1128.0,1563225.0,1118.46,0.0,1133.21,1116.66,1128.0,1.0,1563225.0
2018-06-25,1124.81,1,1143.91,1112.78,1143.6,2157310.0,1124.81,0.0,1143.91,1112.78,1143.6,1.0,2157310.0
2018-06-22,1155.48,1,1162.5,1147.26,1159.14,1310967.0,1155.48,0.0,1162.5,1147.26,1159.14,1.0,1310967.0
2018-06-21,1157.66,1,1177.3,1152.23,1174.85,1238118.0,1157.66,0.0,1177.3,1152.23,1174.85,1.0,1238118.0
