year,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin
2008,,16535380490.5,0.273674,,,,,-1145619509.5,,23814000000.0,2056000000.0,25870000000.0,3182000000.0,,,,,,,,,,260519700000.0,,,,4.3118,14.7344,0.024525,0.067868,,,,,,,,,,,,,,,,,,,,,,,,,0.808044,0.428169,0.368603,0.394141,0.292635,0.191956,0.084856,0.135121,0.439441,0.742462,1.0,0.257538,,,,,,,,,,,,,,,,,,,,,,,,,0.22708,0.93592,6.791955,,,,,,,,,,,,,,,,,,,,,,,,,,16535380490.5,0.273674,0.394141
2009,-0.03282,14967385449.8,0.256129,10608000000.0,5.5088,,,398385449.8,-28950000000.0,19821000000.0,2562000000.0,22383000000.0,3119000000.0,-5517000000.0,25930000000.0,22246000000.0,7430000000.0,3746000000.0,-28950000000.0,46988000000.0,4.3973,2.8119,213834920000.0,184884920000.0,5.4056,8.4533,3.6592,14.6774,0.026259,0.068132,17.4288,3.1638,8.2601,9.3277,12.3525,9.7119,,-0.134789,-0.167674,-0.094827,-0.176008,-0.13369,-0.119147,,,,,,,,,,,,0.791998,0.383028,0.348461,0.339186,0.249311,0.208002,0.068963,0.154183,0.443537,0.735029,1.0,0.264971,0.7503,5.2213,16.9526,7.7554,3.6567,69.9057,21.5306,99.8157,-8.3794,-0.7318,1.969,1.969,0.0947,0.1878,1.410953,-0.013761,1.424714,-1.042658,0.368295,,0.254481,0.187051,0.0,0.368295,0.306679,0.948658,6.103559,0.078403,0.079722,0.158125,0.0,0.0,0.841875,0.3319,-1.2934,0.1674,0.4964,-1.9342,0.2503,4.8698,,,,,,,,1.8229,1.5772,-0.094409,0.443726,0.380683,14967385449.8,0.256129,0.339186
2010,0.069254,18073740854.8,0.289254,7572000000.0,6.8739,-3036000000.0,21109740854.8,-686259145.2,-38603000000.0,25013000000.0,2673000000.0,27686000000.0,1977000000.0,-6259000000.0,30529000000.0,29529000000.0,5939000000.0,4939000000.0,-38603000000.0,52114000000.0,5.1725,3.6544,205410270000.0,166807270000.0,4.4485,6.2965,3.2874,10.9494,0.034602,0.091329,22.0295,2.6696,6.025,6.6688,9.2293,6.9292,7.9019,0.236921,0.261944,0.207542,0.287666,0.296296,0.264537,,-0.286199,0.049375,0.074475,0.081363,0.091569,0.085209,0.088083,0.079023,,0.07618,0.801629,0.443089,0.385667,0.40031,0.300237,0.198371,0.065025,0.13946,0.415962,0.75001,1.0,0.24999,0.762,5.1627,17.0144,8.2406,3.3732,70.6996,21.4524,108.2043,-16.0523,-0.7879,1.9129,1.9129,0.107,0.1286,1.98831,0.020318,1.967993,-1.550673,0.437638,2.322304,0.305035,0.228779,0.0,0.437638,0.24403,0.844723,12.17653,0.019189,0.094773,0.113962,0.0,0.0,0.886038,0.2145,-1.3943,0.1784,0.3286,-2.1359,0.2733,4.9104,,,,,,,,2.1293,1.9047,-0.10017,0.488589,0.472585,18073740854.8,0.289254,0.40031
2011,0.119375,22399527982.6,0.320254,5367000000.0,10.8112,-2205000000.0,24604527982.6,-750472017.4,-51716000000.0,28071000000.0,2766000000.0,30837000000.0,2355000000.0,-6628000000.0,46144000000.0,46144000000.0,11921000000.0,11921000000.0,-51716000000.0,69004000000.0,6.643,5.0923,223418000000.0,171702000000.0,3.9139,5.1058,3.1943,9.6509,0.034042,0.103617,31.9922,2.4549,5.5681,6.1167,7.6654,6.3607,6.9785,0.113812,0.122256,0.239341,0.234009,0.280952,0.121339,0.165553,-0.291204,0.019354,0.008701,0.010621,0.060466,0.062219,0.071713,0.01268,0.038632,0.20094,0.77729,0.440888,0.38833,0.401341,0.330984,0.22271,0.060363,0.129291,0.38896,0.824695,1.0,0.175305,0.718,4.9958,14.7509,8.858,3.7891,73.0621,24.7442,96.3289,1.4774,-0.8747,1.8867,1.8867,0.2088,0.2088,3.462328,0.016618,3.445709,-3.013936,0.448391,3.803158,0.288178,0.237659,0.0,0.448391,0.223758,0.722894,11.46242,0.0,0.172758,0.172758,0.0,0.0,0.827242,0.3866,-1.6771,0.3866,0.5322,-2.3088,0.5322,4.5203,,,,,,,,2.6037,2.3549,-0.094763,0.659737,0.659737,22399527982.6,0.320254,0.401341
2012,0.054044,16593713297.7,0.225082,5491000000.0,13.5795,124000000.0,16469713297.7,-384286702.3,-60872000000.0,22267000000.0,2967000000.0,25234000000.0,2305000000.0,-9413000000.0,53627000000.0,52396000000.0,11944000000.0,10713000000.0,-60872000000.0,78307000000.0,7.8019,5.8478,260198540000.0,199326540000.0,3.9208,5.2311,3.5294,15.3256,0.035016,0.06525,36.3006,2.7037,7.8991,8.9517,12.0122,6.3026,12.1026,-0.181697,-0.206761,-0.259194,-0.266609,-0.256506,0.171594,-0.330623,0.023104,0.009475,-0.188252,-0.211145,-0.276739,-0.272704,-0.272727,0.058044,0.068636,-0.542417,0.762218,0.342281,0.2952,0.302036,0.230294,0.237782,0.061975,0.133079,0.467018,0.762474,1.0,0.237526,0.6411,4.7923,13.9737,8.9736,4.1878,76.1632,26.1205,87.1586,15.1251,-0.912,1.863,1.863,0.1614,0.18,3.056495,0.006826,3.049669,-2.781428,0.275068,3.033655,0.193647,0.147651,0.0,0.275068,0.376075,0.672282,13.720607,0.01572,0.136808,0.152528,0.0,0.0,0.847472,0.4733,-2.4123,0.4245,0.7198,-3.6684,0.6456,4.5657,,,,,,,,2.6029,2.4113,-0.127681,0.727412,0.710714,21315712399.5,0.289132,0.302036
2013,0.055966,21630242939.5,0.277849,6678000000.0,12.7946,1187000000.0,20443242939.5,-232757060.5,-72266000000.0,27052000000.0,3755000000.0,30807000000.0,4257000000.0,-9974000000.0,67048000000.0,64049000000.0,15600000000.0,12601000000.0,-72266000000.0,94544000000.0,9.3204,7.2262,292596150000.0,220330150000.0,3.7064,4.7805,3.7585,13.3832,0.035648,0.074721,32.9934,2.8302,7.152,8.1447,10.1862,7.6416,10.7777,0.220853,0.214892,0.30352,0.287725,0.29,-0.088313,0.241263,0.216172,0.024167,0.240467,0.272077,0.342615,0.332622,0.323077,-0.057961,-0.107419,0.282504,0.738147,0.395728,0.343794,0.347493,0.280839,0.261853,0.064394,0.133733,0.394353,0.808184,1.0,0.191816,0.5904,4.6804,13.2585,8.5267,4.5285,77.9849,27.5294,80.6008,24.9135,-0.9163,1.8148,1.8148,0.1596,0.1976,3.554975,0.003496,3.551478,-3.254053,0.300921,3.359889,0.205171,0.165816,0.0,0.300921,0.340987,0.58615,6.77308,0.031721,0.133282,0.165003,0.0,0.0,0.834997,0.5064,-2.3458,0.409,0.7212,-3.341,0.5826,4.5755,,,,,,,,2.7118,2.5258,-0.12812,0.861257,0.822734,21630242939.5,0.277849,0.347493
2014,0.115403,22025599065.4,0.253655,12123000000.0,9.2371,5445000000.0,16580599065.400002,-48400934.6,-77661000000.0,27820000000.0,5212000000.0,33032000000.0,5485000000.0,-15088000000.0,70621000000.0,68621000000.0,22645000000.0,20645000000.0,-77661000000.0,112429000000.0,10.6898,7.4623,350238300000.0,272577300000.0,3.9009,5.5881,4.0335,15.8666,0.034212,0.063026,22.4843,3.1391,8.2519,9.7979,12.3755,8.3865,16.4395,0.072224,0.02839,0.018278,0.009651,0.01938,0.12725,-0.188945,0.815364,0.041825,0.037405,0.015773,-0.016534,-0.01574,-0.007547,0.135639,-0.199658,0.760529,0.68816,0.380408,0.319683,0.320385,0.254212,0.31184,0.053862,0.131068,0.368477,0.793458,1.0,0.206542,0.5516,4.6899,11.7782,7.55,4.4173,77.8273,30.9895,82.6298,26.187,-0.8886,1.8658,1.8658,0.2299,0.2522,2.343024,0.000646,2.342379,-2.081372,0.261652,1.7638,0.176739,0.140235,0.0,0.261652,0.402238,0.733669,5.925615,0.017789,0.183627,0.201416,0.0,0.0,0.798584,0.6855,-2.3511,0.625,1.0281,-3.5259,0.9373,4.2019,,,,,,,,2.504,2.3069,-0.173759,0.813297,0.790264,22126368224.3,0.254815,0.320385
2015,0.077701,11965044199.5,0.127859,6796000000.0,9.8927,-5327000000.0,17292044199.5,-227955800.5,-73287000000.0,18507000000.0,5957000000.0,24464000000.0,5944000000.0,-15892000000.0,80634000000.0,73150000000.0,35292000000.0,27808000000.0,-73287000000.0,115375000000.0,9.7023,7.0643,364414100000.0,291127100000.0,4.5505,6.2497,3.8941,29.8872,0.029302,0.033459,42.838,3.111,11.9002,15.7306,24.3315,9.8128,16.8359,-0.259385,-0.334759,-0.456766,-0.447631,-0.437262,-0.087195,0.042908,-0.439413,-0.012682,-0.259699,-0.310469,-0.398521,-0.39035,-0.385892,-0.09005,0.413245,-0.532696,0.646954,0.261423,0.194069,0.197767,0.130295,0.353046,0.049273,0.128724,0.452885,0.658832,1.0,0.341168,0.5396,4.9973,11.8799,6.7464,4.712,73.039,30.7242,77.4622,26.3009,-0.8886,2.0419,2.0419,0.3472,0.4407,1.264871,0.00302,1.26185,-1.121311,0.143559,1.828008,0.106713,0.070306,0.0,0.143559,0.810465,1.994997,4.991252,0.064867,0.241023,0.305889,0.0,0.0,0.694111,1.4426,-2.9957,1.1367,2.9496,-6.1251,2.3241,3.779,,,,,,,,2.4734,2.305,-0.169823,0.861658,0.781684,18560609283.0,0.198339,0.197767
2016,-0.088267,17164560579.2,0.201179,1787000000.0,19.8812,-5009000000.0,22173560579.2,366560579.2,-70210000000.0,19751000000.0,6622000000.0,26373000000.0,8343000000.0,-20033000000.0,93207000000.0,80303000000.0,53461000000.0,40557000000.0,-70210000000.0,125458000000.0,8.985,6.2888,410025210000.0,339815210000.0,5.695,8.1367,4.8057,24.4092,0.034559,0.040968,190.1596,3.9828,12.885,17.205,19.7975,10.197,15.3252,0.078033,0.067218,0.434559,0.377676,0.418919,0.123264,0.282298,-0.737051,-0.018024,0.26471,0.348375,0.594045,0.60271,0.590909,0.05093,0.056995,-0.587584,0.615799,0.309107,0.236545,0.231493,0.196882,0.384201,0.053481,0.140506,0.379255,0.850489,1.0,0.149511,0.4638,4.7158,12.7227,5.1573,4.8603,77.3999,28.6889,75.0989,30.9899,-0.9436,2.4194,2.4194,0.5633,0.7425,3.999665,-0.005109,4.004774,-3.778755,0.22091,5.166856,0.10736,0.091308,0.0,0.22091,0.655197,1.605846,3.994367,0.102855,0.323272,0.426127,0.0,0.0,0.573873,2.0271,-2.6622,1.5378,3.1146,-4.0904,2.3628,3.3178,,,,,,,,2.3529,2.2157,-0.234798,1.09244,0.941198,18108602906.2,0.212243,0.231493
2017,0.054266,20450149207.3,0.22735,34901000000.0,4.9035,33114000000.0,-12663850792.7,-753850792.7,-52810000000.0,23149000000.0,8778000000.0,31927000000.0,8129000000.0,-15909000000.0,117072000000.0,106951000000.0,86194000000.0,76073000000.0,-52810000000.0,173905000000.0,11.1991,5.4243,539859760000.0,487049760000.0,6.155,12.7077,6.0018,25.4603,0.027833,0.039277,13.9552,5.4147,15.2551,21.0398,23.8164,12.3282,,0.210594,0.172042,0.191417,0.262293,0.290476,0.185506,-1.571124,18.530498,-0.017799,-0.05078,-0.084658,0.030869,0.032227,0.034351,0.068739,-4.304097,0.716049,0.619111,0.354942,0.248205,0.257354,0.235731,0.380889,0.049817,0.144936,0.370906,0.915979,1.0,0.084021,0.4054,4.4193,15.4607,4.2742,4.7958,82.5927,23.6082,76.1087,30.0922,-0.7703,2.7787,2.7787,0.8673,0.9827,1.114814,0.012256,1.102558,-0.849279,0.265535,-0.690354,0.104326,0.095561,0.0,0.265535,0.558621,1.114554,4.860007,0.058198,0.43744,0.495638,0.0,0.0,0.504362,2.6997,-1.6541,2.3827,4.2148,-2.5824,3.7199,3.2687,,,,,,,,2.9186,2.7879,-0.176865,1.301523,1.189005,20730438809.5,0.230466,0.257354
