date,adj_close,adj_factor,adj_high,adj_low,adj_open,adj_volume,close,ex_dividend,high,low,open,split_ratio,volume
2018-07-13,105.05,1.0,105.17,104.09,104.25,12385280.0,105.05,0.0,105.17,104.09,104.25,1.0,12385280.0
2018-07-12,104.27,1.0,104.41,102.73,102.77,23899598.0,104.27,0.0,104.41,102.73,102.77,1.0,23899598.0
2018-07-11,101.98,1.0,102.34,101.1,101.15,19644648.0,101.98,0.0,102.34,101.1,101.15,1.0,19644648.0
2018-07-10,102.12,1.0,102.51,101.86,102.0,19293140.0,102.12,0.0,102.51,101.86,102.0,1.0,19293140.0
2018-07-09,101.85,1.0,102.25,101.251,101.6452,18211980.0,101.85,0.0,102.25,101.251,101.6452,1.0,18211980.0
2018-07-06,101.16,1.0,101.43,99.67,99.885,19234627.0,101.16,0.0,101.43,99.67,99.885,1.0,19234627.0
2018-07-05,99.76,1.0,99.92,99.0299,99.5,18977402.0,99.76,0.0,99.92,99.0299,99.5,1.0,18977402.0
2018-07-03,99.05,1.0,100.63,98.94,100.48,14670275.0,99.05,0.0,100.63,98.94,100.48,1.0,14670275.0
2018-07-02,100.01,1.0,100.06,98.0,98.1,18850112.0,100.01,0.0,100.06,98.0,98.1,1.0,18850112.0
2018-06-29,98.61,1.0,99.91,98.33,98.93,28053214.0,98.61,0.0,99.91,98.33,98.93,1.0,28053214.0
2018-06-28,98.63,1.0,99.11,97.26,97.38,26650671.0,98.63,0.0,99.11,97.26,97.38,1.0,26650671.0
2018-06-27,97.54,1.0,100.02,97.4,99.58,31298386.0,97.54,0.0,100.02,97.4,99.58,1.0,31298386.0
2018-06-26,99.08,1.0,100.08,98.75,98.82,26897244.0,99.08,0.0,100.08,98.75,98.82,1.0,26897244.0
2018-06-25,98.39,1.0,100.11,97.3,100.0,35433333.0,98.39,0.0,100.11,97.3,100.0,1.0,35433333.0
2018-06-22,100.41,1.0,100.77,99.625,100.41,38923105.0,100.41,0.0,100.77,99.625,100.41,1.0,38923105.0
2018-06-21,101.14,1.0,102.46,100.88,102.075,23198188.0,101.14,0.0,102.46,100.88,102.075,1.0,23198188.0
2018-06-20,101.87,1.0,102.52,101.12,101.37,26180792.0,101.87,0.0,102.52,101.12,101.37,1.0,26180792.0
2018-06-19,100.86,1.0,101.0,99.5,99.65,28653087.0,100.86,0.0,101.0,99.5,99.65,1.0,28653087.0
2018-06-18,100.86,1.0,101.11,99.42,100.01,23586037.0,100.86,0.0,101.11,99.42,100.01,1.0,23586037.0
2018-06-15,100.13,1.0,101.53,100.07,101.51,65738585.0,100.13,0.0,101.53,100.07,101.51,1.0,65738585.0
2018-06-14,101.42,1.0,102.03,101.0,101.65,25691811.0,101.42,0.0,102.03,101.0,101.65,1.0,25691811.0
2018-06-13,100.85,1.0,102.01,100.56,101.72,29492875.0,100.85,0.0,102.01,100.56,101.72,1.0,29492875.0
2018-06-12,101.31,1.0,101.4493,100.75,101.1,18325228.0,101.31,0.0,101.4493,100.75,101.1,1.0,18325228.0
2018-06-11,101.05,1.0,101.59,100.67,101.37,23490894.0,101.05,0.0,101.59,100.67,101.37,1.0,23490894.0
2018-06-08,101.63,1.0,101.95,100.54,101.0924,22165128.0,101.63,0.0,101.95,100.54,101.0924,1.0,22165128.0
2018-06-07,100.88,1.0,102.69,100.38,102.65,28232197.0,100.88,0.0,102.69,100.38,102.65,1.0,28232197.0
2018-06-06,102.49,1.0,102.6,101.9,102.48,21122917.0,102.49,0.0,102.6,101.9,102.48,1.0,21122917.0
2018-06-05,102.19,1.0,102.33,101.53,102.0,23514402.0,102.19,0.0,102.33,101.53,102.0,1.0,23514402.0
2018-06-04,101.67,1.0,101.86,100.851,101.26,27281623.0,101.67,0.0,101.86,100.851,101.26,1.0,27281623.0
2018-06-01,100.79,1.0,100.86,99.17,99.2798,28655624.0,100.79,0.0,100.86,99.17,99.2798,1.0,28655624.0
2018-05-31,98.84,1.0,99.99,98.61,99.29,34140891.0,98.84,0.0,99.99,98.61,99.29,1.0,34140891.0
2018-05-30,98.95,1.0,99.25,97.91,98.31,22158528.0,98.95,0.0,99.25,97.91,98.31,1.0,22158528.0
2018-05-29,98.01,1.0,98.88,97.23,97.84,28670981.0,98.01,0.0,98.88,97.23,97.84,1.0,28670981.0
2018-05-25,98.36,1.0,98.98,97.86,98.3,18363918.0,98.36,0.0,98.98,97.86,98.3,1.0,18363918.0
2018-05-24,98.31,1.0,98.94,96.81,98.725,26649287.0,98.31,0.0,98.94,96.81,98.725,1.0,26649287.0
2018-05-23,98.66,1.0,98.73,96.32,96.71,21251222.0,98.66,0.0,98.73,96.32,96.71,1.0,21251222.0
2018-05-22,97.5,1.0,98.17,97.2,97.68,15441189.0,97.5,0.0,98.17,97.2,97.68,1.0,15441189.0
2018-05-21,97.6,1.0,98.01,96.8,97.0,19422467.0,97.6,0.0,98.01,96.8,97.0,1.0,19422467.0
2018-05-18,96.36,1.0,96.93,96.01,96.01,17865840.0,96.36,0.0,96.93,96.01,96.01,1.0,17865840.0
2018-05-17,96.18,1.0,97.5401,95.83,96.76,17246716.0,96.18,0.0,97.5401,95.83,96.76,1.0,17246716.0
2018-05-16,97.15,0.995695398175669,97.4,96.615,97.36,17384742.0,97.15,0.42,97.4,96.615,97.36,1.0,17384742.0
2018-05-15,96.9010761504561,1.0,97.4287947114892,95.9252946602439,96.821420518602,24594010.0,97.32,0.0,97.85,96.34,97.24,1.0,24594010.0
