date,adj_close,adj_factor,adj_high,adj_low,adj_open,adj_volume,close,ex_dividend,high,low,open,split_ratio,volume
2018-07-13,120.58,1.0,121.689,120.7,120.77,254377.0,120.58,0.0,121.689,120.7,120.77,1.0,254377.0
2018-07-12,120.77,1.0,120.94,120.351,120.74,791393.0,120.77,0.0,120.94,120.351,120.74,1.0,791393.0
2018-07-11,120.32,1.0,121.3,118.4101,119.15,2776457.0,120.32,0.0,121.3,118.4101,119.15,1.0,2776457.0
2018-07-10,118.64,1.0,119.65,118.19,119.26,1047279.0,118.64,0.0,119.65,118.19,119.26,1.0,1047279.0
2018-07-09,118.3,1.0,118.78,117.11,118.73,934636.0,118.3,0.0,118.78,117.11,118.73,1.0,934636.0
2018-07-06,118.41,1.0,118.78,117.14,117.33,818717.0,118.41,0.0,118.78,117.14,117.33,1.0,818717.0
2018-07-05,117.48,1.0,117.65,115.92,116.5,1019008.0,117.48,0.0,117.65,115.92,116.5,1.0,1019008.0
2018-07-03,115.9,1.0,117.6732,115.75,116.97,648856.0,115.9,0.0,117.6732,115.75,116.97,1.0,648856.0
2018-07-02,116.51,1.0,116.55,114.95,115.87,871839.0,116.51,0.0,116.55,114.95,115.87,1.0,871839.0
2018-06-29,116.37,1.0,117.85,116.28,117.45,1374288.0,116.37,0.0,117.85,116.28,117.45,1.0,1374288.0
2018-06-28,117.11,1.0,117.36,114.86,115.0,976665.0,117.11,0.0,117.36,114.86,115.0,1.0,976665.0
2018-06-27,115.41,1.0,116.03,114.93,115.78,1125350.0,115.41,0.0,116.03,114.93,115.78,1.0,1125350.0
2018-06-26,115.48,1.0,116.4,115.44,115.98,1155843.0,115.48,0.0,116.4,115.44,115.98,1.0,1155843.0
2018-06-25,116.05,1.0,117.88,115.41,117.62,1072347.0,116.05,0.0,117.88,115.41,117.62,1.0,1072347.0
2018-06-22,117.71,1.0,118.37,117.11,117.24,1749534.0,117.71,0.0,118.37,117.11,117.24,1.0,1749534.0
2018-06-21,117.05,1.0,117.62,116.02,116.64,849889.0,117.05,0.0,117.62,116.02,116.64,1.0,849889.0
2018-06-20,115.97,1.0,116.68,115.265,115.94,730155.0,115.97,0.0,116.68,115.265,115.94,1.0,730155.0
2018-06-19,115.8,1.0,115.88,114.36,114.55,1051263.0,115.8,0.0,115.88,114.36,114.55,1.0,1051263.0
2018-06-18,115.5,1.0,115.58,113.59,113.61,889232.0,115.5,0.0,115.58,113.59,113.61,1.0,889232.0
2018-06-15,114.52,1.0,114.7,112.82,113.68,1693764.0,114.52,0.0,114.7,112.82,113.68,1.0,1693764.0
2018-06-14,113.9,0.995455339975529,114.45,113.33,113.33,822326.0,113.9,0.52,114.45,113.33,113.33,1.0,822326.0
2018-06-13,113.113590281419,1.0,113.939818213599,112.546180737633,113.10363572802,702907.0,113.63,0.0,114.46,113.06,113.62,1.0,702907.0
2018-06-12,112.765180912428,1.0,112.844817339626,111.630361824856,112.386907883237,695218.0,113.28,0.0,113.36,112.14,112.9,1.0,695218.0
2018-06-11,111.998680300647,1.0,112.386907883237,111.500952630659,111.709998252054,732903.0,112.51,0.0,112.9,112.01,112.22,1.0,732903.0
2018-06-08,111.789634679252,1.0,112.406816990037,110.734452018878,111.719952805454,789790.0,112.3,0.0,112.92,111.24,112.23,1.0,789790.0
2018-06-07,111.709998252054,1.0,113.173317601818,110.883770319874,113.143453941619,1378736.0,112.22,0.0,113.69,111.39,113.66,1.0,1378736.0
2018-06-06,113.063817514421,1.0,113.08372662122,111.023134067471,111.779680125852,1660722.0,113.58,0.0,113.6,111.53,112.29,1.0,1660722.0
2018-06-05,111.829452892851,1.0,111.919043873449,109.01231428072,109.490132843908,1340761.0,112.34,0.0,112.43,109.51,109.99,1.0,1340761.0
2018-06-04,109.41049641671,1.0,109.519996504108,108.285631882538,108.663904911729,646364.0,109.91,0.0,110.02,108.78,109.16,1.0,646364.0
2018-06-01,108.61413214473,1.0,108.653950358329,107.240403775564,107.529085824157,819320.0,109.11,0.0,109.15,107.73,108.02,1.0,819320.0
2018-05-31,106.852176192973,1.0,109.400541863311,106.732721552176,109.400541863311,3675824.0,107.34,0.0,109.9,107.22,109.9,1.0,3675824.0
2018-05-30,108.972496067121,1.0,110.147133368292,108.962541513721,109.300996329313,1063260.0,109.47,0.0,110.65,109.46,109.8,1.0,1063260.0
2018-05-29,109.181541688516,1.0,109.928133193498,108.60417759133,109.559814717707,1297994.0,109.68,0.0,110.43,109.1,110.06,1.0,1297994.0
2018-05-25,110.067496941094,1.0,111.013179514071,109.634473868205,110.595088271281,907480.0,110.57,0.0,111.52,110.135,111.1,1.0,907480.0
2018-05-24,110.356178989687,1.0,110.565224611082,109.539905610907,109.928133193498,1344975.0,110.86,0.0,111.07,110.04,110.43,1.0,1344975.0
2018-05-23,110.336269882888,1.0,110.346224436287,107.887449746548,108.136313581542,1282737.0,110.84,0.0,110.85,108.38,108.63,1.0,1282737.0
2018-05-22,108.813223212725,1.0,109.291041775913,107.81776787275,108.504632057333,1964399.0,109.31,0.0,109.79,108.31,109.0,1.0,1964399.0
2018-05-21,107.887449746548,1.0,107.986995280545,106.334539416186,106.623221464779,1337648.0,108.38,0.0,108.48,106.82,107.11,1.0,1337648.0
2018-05-18,105.926402726796,1.0,106.483857717182,105.408765950009,105.637720678203,2433443.0,106.41,0.0,106.97,105.89,106.12,1.0,2433443.0
2018-05-17,105.7671298724,1.0,106.513721377382,105.627766124803,106.16531200839,1121982.0,106.25,0.0,107.0,106.11,106.65,1.0,1121982.0
2018-05-16,106.812357979374,1.0,107.857586086349,106.682948785177,107.429540290159,968471.0,107.3,0.0,108.35,107.17,107.92,1.0,968471.0
2018-05-15,107.489267610558,1.0,107.568904037756,106.279789372487,106.533630484181,1145615.0,107.98,0.0,108.06,106.765,107.02,1.0,1145615.0
2018-05-14,106.891994406572,1.0,108.843086872924,106.623221464779,107.937222513547,1239310.0,107.38,0.0,109.34,107.11,108.43,1.0,1239310.0
2018-05-11,107.877495193148,1.0,108.176131795141,107.011449047369,108.096495367943,1065483.0,108.37,0.0,108.67,107.5,108.59,1.0,1065483.0
2018-05-10,108.255768222339,1.0,108.424995630135,105.7671298724,105.836811746198,1517319.0,108.75,0.0,108.92,106.25,106.32,1.0,1517319.0
2018-05-09,105.299265862611,1.0,107.718222338752,104.93094738682,107.39967662996,1866747.0,105.78,0.0,108.21,105.41,107.89,1.0,1866747.0
2018-05-08,107.349903862961,1.0,107.986995280545,106.404221289984,106.812357979374,1136975.0,107.84,0.0,108.48,106.89,107.3,1.0,1136975.0
2018-05-07,106.822312532774,1.0,108.066631707743,106.16531200839,108.036768047544,1615181.0,107.31,0.0,108.56,106.65,108.53,1.0,1615181.0
2018-05-04,107.539040377556,1.0,108.653950358329,104.582538017829,107.469358503758,2377996.0,108.03,0.0,109.15,105.06,107.96,1.0,2377996.0
2018-05-03,107.200585561965,1.0,107.469358503758,105.020538367418,107.031358154169,1843195.0,107.69,0.0,107.96,105.5,107.52,1.0,1843195.0
2018-05-02,107.140858241566,1.0,108.60417759133,106.98158538717,108.20599545534,959650.0,107.63,0.0,109.1,107.47,108.7,1.0,959650.0
2018-05-01,107.986995280545,1.0,109.380632756511,106.354448522986,109.330859989512,1209641.0,108.48,0.0,109.88,106.84,109.83,1.0,1209641.0
2018-04-30,109.330859989512,1.0,110.435815416885,108.962541513721,109.898269533298,899750.0,109.83,0.0,110.94,109.46,110.4,1.0,899750.0
2018-04-27,109.649405698305,1.0,109.748951232302,108.643995804929,109.350769096312,921847.0,110.15,0.0,110.25,109.14,109.85,1.0,921847.0
2018-04-26,109.330859989512,1.0,109.8385422129,108.683814018528,109.091950707918,548134.0,109.83,0.0,110.34,109.18,109.59,1.0,548134.0
2018-04-25,108.922723300122,1.0,109.121814368117,107.938118423353,108.753495892327,803556.0,109.42,0.0,109.62,108.4309,109.25,1.0,803556.0
2018-04-24,109.141723474917,1.0,110.784224785877,108.424995630135,109.470223737109,1090035.0,109.64,0.0,111.29,108.92,109.97,1.0,1090035.0
2018-04-23,109.320905436113,1.0,111.172452368467,109.151678028317,110.346224436287,762807.0,109.82,0.0,111.68,109.65,110.85,1.0,762807.0
2018-04-20,110.067496941094,1.0,110.953452193672,109.649405698305,110.555270057682,719241.0,110.57,0.0,111.46,110.15,111.06,1.0,719241.0
2018-04-19,110.206860688691,1.0,110.893724873274,110.037633280895,110.356178989687,832328.0,110.71,0.0,111.4,110.54,110.86,1.0,832328.0
2018-04-18,110.913633980073,1.0,111.401407096661,109.888314979899,110.336269882888,716996.0,111.42,0.0,111.91,110.39,110.84,1.0,716996.0
2018-04-17,110.147133368292,1.0,110.425860863485,108.494677503933,108.753495892327,798605.0,110.65,0.0,110.93,108.99,109.25,1.0,798605.0
2018-04-16,108.424995630135,1.0,108.957564237022,106.424130396784,107.459403950358,743534.0,108.92,0.0,109.455,106.91,107.95,1.0,743534.0
2018-04-13,107.200585561965,1.0,108.081563537843,106.802403425974,107.887449746548,546051.0,107.69,0.0,108.575,107.29,108.38,1.0,546051.0
2018-04-12,107.837676979549,1.0,108.454859290334,107.190631008565,107.748085998951,729875.0,108.33,0.0,108.95,107.68,108.24,1.0,729875.0
2018-04-11,107.140858241566,1.0,107.777949659151,105.936357280196,106.463948610383,773851.0,107.63,0.0,108.27,106.42,106.95,1.0,773851.0
2018-04-10,107.061221814368,1.0,107.310085649362,105.289311309212,105.528220590806,1075204.0,107.55,0.0,107.8,105.77,106.01,1.0,1075204.0
2018-04-09,104.234128648838,1.0,105.289311309212,104.074855794442,104.234128648838,1018757.0,104.71,0.0,105.77,104.55,104.71,1.0,1018757.0
2018-04-06,103.507446250655,1.0,105.976175493795,103.228718755462,105.289311309212,1080416.0,103.98,0.0,106.46,103.7,105.77,1.0,1080416.0
2018-04-05,106.205130221989,1.0,107.200585561965,105.637720678203,106.444039503583,1409480.0,106.69,0.0,107.69,106.12,106.93,1.0,1409480.0
2018-04-04,105.587947911204,1.0,105.935560915924,103.210999650411,103.30835518266,1603068.0,106.07,0.0,106.4192,103.6822,103.78,1.0,1603068.0
2018-04-03,104.453128823632,1.0,105.936357280196,103.925537493445,104.791583639224,1325175.0,104.93,0.0,106.42,104.4,105.27,1.0,1325175.0
2018-04-02,104.044992134242,1.0,105.239538542213,102.711081978675,104.53276525083,1445071.0,104.52,0.0,105.72,103.18,105.01,1.0,1445071.0
2018-03-29,104.821447299423,1.0,105.36894773641,103.587082677854,104.015128474043,920501.0,105.3,0.0,105.85,104.06,104.49,1.0,920501.0
2018-03-28,103.487537143856,1.0,105.896539066597,103.447718930257,105.189765775214,867943.0,103.96,0.0,106.38,103.92,105.67,1.0,867943.0
2018-03-27,105.448584163608,1.0,106.633176018179,104.801538192624,105.866675406397,2009844.0,105.93,0.0,107.12,105.28,106.35,1.0,2009844.0
2018-03-26,105.309220416011,1.0,105.996084600594,104.473037930432,105.100174794616,1286358.0,105.79,0.0,106.48,104.95,105.58,1.0,1286358.0
2018-03-23,103.806082852648,1.0,107.315062926062,103.806082852648,107.041312707569,975747.0,104.28,0.0,107.805,104.28,107.53,1.0,975747.0
