year,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin,stock_year_change,close_on_up
2007,,-133837766.0,-0.003655,,,,,-98837766.0,,-517000000.0,903000000.0,386000000.0,361000000.0,,,,,,,,,,37095708000.0,,,,1.0129,,0.017557,-0.0013210000000000001,,,,,,,,,,,,,,,,,,,,,,,,,0.27174899999999996,0.01054,-0.0151,-0.014117,-0.000956,0.728251,0.165911,0.12093800000000002,0.28684899999999997,0.093085,0.727273,0.757979,,,,,,,,,,,,,,,,,,,,,,,,,-13.371429000000001,-100.085714,2.174515,,,,,,,,,,,,,,,,,,,,,,,,,,-387100000.0,-0.01057,-0.010267,-0.21617368687927016,0.4820717131474104
2008,-0.314374,-3953331230.3,-0.157447,9973000000.0,2.5177,,,286668769.7,378000000.0,-2967000000.0,686000000.0,-2281000000.0,278000000.0,3546000000.0,6835000000.0,6743000000.0,4184000000.0,4092000000.0,378000000.0,13779000000.0,29.3789,20.6119,1433548000.0,1899548000.0,0.1508,0.2149,0.0571,,0.002282,-2.960487,0.1905,0.0757,,,,,,-6.909325999999999,-4.738878,-28.538234000000003,-120.142857,-120.142857,-1.414013,,,,,,,,,,,,0.27631500000000003,-0.09084400000000001,-0.101239,-0.118165,-0.16886400000000001,0.723685,0.242184,0.13537000000000002,0.377554,1.486155,0.961577,-0.5552050000000001,0.9009999999999999,7.1884,6.8338,10.2821,5.6998,50.7764,53.4112,64.0372,40.1504,0.0394,2.9045,2.7929,0.4265,0.4361,-0.396403,0.758383,-1.154786,-0.045493,-0.44189700000000004,,-0.10646199999999999,-0.15214,0.009170999999999999,-0.43784399999999996,-0.10684,-0.13938699999999998,-1.169065,0.006677,0.29697399999999996,0.30365,0.0,0.0063869999999999994,0.689963,-1.8343,-0.1657,-1.794,-1.0583,-0.0956,-1.0351,1.0819,,,,,,,,1.6349,0.6386,0.141224,0.27221300000000004,0.268549,-1779400000.0,-0.070867,-0.113625,-0.715206607688522,0.43478260869565216
2009,-0.723326,398601895.7,0.057378,4783000000.0,0.9416,-5190000000.0,5588601895.7,426601895.7,-5100000000.0,658000000.0,388000000.0,1046000000.0,135000000.0,344000000.0,8307000000.0,7771000000.0,3901000000.0,3365000000.0,-4584000000.0,13784000000.0,29.6302,21.4035,2560024000.0,-1915976000.0,0.2619,0.3626,0.3685,,0.0,-0.019922,,,,,,,,1.4585709999999998,1.221773,1.100827,0.993396,0.993396,2.929231,,-0.520405,,,,,,,1.548556,,,0.500504,0.150569,0.081618,0.094717,-0.004031,0.499496,0.275946,0.142939,0.418886,-0.044233999999999996,0.9620059999999999,0.296998,0.2598,2.1922,1.8477,3.2607,1.3382,166.5014,197.5418,272.7507,91.2924,-0.2424,2.7453,2.6409,0.3405,0.3947,0.054026,-0.180687,0.234713,-0.056901,-0.002875,0.757468,0.024611,-0.001047,0.010062999999999999,-0.002846,-6.464286,-6.464286,4.644444,0.038886000000000004,0.24412399999999998,0.283009,0.0,0.007835,0.709156,3.7294,-4.3824,3.217,9.7867,-11.5002,8.442,1.0273,,,,,,,,1.9407,1.3083,0.049518,1.195768,1.1186120000000002,398601895.7,0.057378,0.09111799999999999,0.7438202247191025,0.46825396825396826
2010,0.096445,295197289.2,0.038755,2342000000.0,2.1381,-2441000000.0,2736197289.2,-354802710.8,-8645000000.0,744000000.0,353000000.0,1097000000.0,165000000.0,186000000.0,9049000000.0,8444000000.0,2703000000.0,2098000000.0,-6402000000.0,13690000000.0,32.1946,27.9681,3066567000.0,-3233433000.0,0.2817,0.3243,0.4026,4.8445,0.0,0.20642,,,,,,,,0.048757,0.130699,-0.259418,24.214285999999998,24.214285999999998,0.280702,-0.510397,-0.5103489999999999,3.849607,-0.36295,-0.524297,-0.647201,0.329243,0.329243,-0.571733,,-0.47441700000000003,0.500459,0.14402,0.098595,0.097676,0.08533500000000001,0.499541,0.265721,0.13614300000000001,0.401864,0.978916,0.892473,0.606928,0.2977,3.4686,4.7033,5.5578,2.7886,105.2304,77.6045,130.8916,51.9433,-0.6586,2.4523,2.1886,0.191,0.24600000000000002,0.082862,0.051626,0.031236,-0.020572,0.06229,0.768055,0.029074000000000003,0.025401,0.010062,0.061664,-1.2261540000000002,-1.2261540000000002,4.866667,0.044193,0.153251,0.197443,0.0,0.007451,0.7951060000000001,2.464,-5.8359,1.9125,9.1566,-21.6872,7.1071,1.1602,,,,,,,,1.9695,1.1952,0.024419,1.188001,1.108573,525700000.0,0.069017,0.087173,0.15101522842639603,0.4880952380952381
2011,0.076933,861487804.9,0.105021,1552000000.0,4.2131,-790000000.0,1651487804.9,-290512195.1,-3722000000.0,789000000.0,366000000.0,1155000000.0,180000000.0,267000000.0,5358000000.0,4953000000.0,1535000000.0,1130000000.0,-3722000000.0,6809000000.0,15.3488,11.1451,15724713000.0,12062713000.0,3.0159,4.1534,1.9169,13.5792,0.010827,0.073642,7.7724,1.4705,10.4439,15.2886,14.0022,14.2249,7.3041,0.052871,0.060484,1.9183459999999999,0.772308,0.8235290000000001,0.05604,-0.39643,-0.337319,0.033644,0.014047,0.024675,-0.014769,-0.09434,-0.09549099999999999,-0.253521,-0.524396,-0.164693,0.505425,0.140802,0.10459600000000001,0.096184,0.14043599999999998,0.494575,0.274656,0.126173,0.400829,1.560976,0.9353610000000001,-0.004065,0.4153,4.8069,7.8548,9.0242,5.7628,75.9323,46.4684,63.3374,59.0633,-0.7605,2.4295,2.2725,0.2143,0.2911,0.44246899999999995,0.046981999999999996,0.395488,-0.300781,0.141689,0.8482219999999999,0.039943,0.058320000000000004,0.009962,0.14027699999999999,0.006944,0.9704860000000001,4.711111,0.05948,0.165957,0.225437,0.0,0.008812,0.7657510000000001,1.329,-3.2225,0.9784,1.7818,-4.3204,1.3117,2.3948,,,,,,,,2.2983,1.8236,0.032549,0.653176,0.603803,600600000.0,0.07321699999999999,0.08996699999999999,-0.2659553705685743,0.5317460317460317
2012,-0.235767,699659477.9,0.111606,1310000000.0,4.3809,-242000000.0,941659477.9,-181340522.1,-1980000000.0,921000000.0,151000000.0,1072000000.0,130000000.0,467000000.0,4070000000.0,4066000000.0,1863000000.0,1859000000.0,-1980000000.0,5153000000.0,10.9785,5.9011,16559232000.0,14604232000.0,5.0717,9.4355,2.6414,18.796,0.023686000000000002,0.053203,11.1483,2.3296,13.6234,15.8569,20.8733,21.668000000000003,15.509,-0.07186100000000001,0.1673,-0.18784700000000001,-0.23524299999999998,-0.131965,-0.20518899999999998,-0.42981099999999994,-0.155928,-0.267383,-0.199403,-0.158904,-0.057583,0.20850500000000002,0.147287,0.229927,0.7424930000000001,-0.364078,0.509491,0.171,0.146754,0.14691300000000002,0.140533,0.49050900000000003,0.23671999999999999,0.12601700000000002,0.362737,1.0,0.956569,0.23950100000000002,0.4712,3.3461,6.0,7.2265,4.4501,109.0808,60.8333,82.0211,87.89299999999999,-0.6658,3.1069999999999998,2.972,0.565,0.5663,0.48893000000000003,0.063606,0.425325,-0.28318499999999996,0.20574499999999998,0.658043,0.069227,0.066221,0.009925,0.203703,0.060159000000000004,2.827469,5.184615,0.000776,0.360761,0.361537,0.0,0.004852,0.6336109999999999,1.7379,-1.847,1.7341,2.6627,-2.8299,2.657,2.3566,,,,,,,,2.2192,1.6444,0.074494,0.649226,0.648588,699659477.9,0.111606,0.140533,0.2102210164644012,0.52
2013,-0.0067,1010492045.5,0.162276,1192000000.0,4.9776,-118000000.0,1128492045.5,-94507954.5,-2497000000.0,956000000.0,158000000.0,1114000000.0,103000000.0,579000000.0,3804000000.0,3800000000.0,2461000000.0,2457000000.0,-996000000.0,6150000000.0,13.5268,12.1922,18258750000.0,17292750000.0,4.9901,5.5363,2.9322,16.614,0.022744999999999998,0.06019,14.5073,2.7771,15.5231,18.0887,17.1132,31.1581,15.3238,0.039179000000000005,0.038002,0.444263,0.254257,0.37162199999999995,-0.176558,0.198408,-0.090076,0.24564899999999998,0.239155,0.22094499999999997,0.15925,0.006375,-0.026379000000000003,2.827586,0.23510999999999999,-0.409316,0.499277,0.178898,0.15208,0.153525,0.177453,0.5007229999999999,0.22498800000000002,0.12220999999999999,0.347198,1.255682,0.920502,-0.06704500000000001,0.5077,3.832,7.2512,8.5949,4.8416,95.2505,50.3368,75.3881,70.1992,-0.6415,3.5148,3.2354,0.6659999999999999,0.6671,0.807747,0.042219,0.765528,-0.491083,0.316664,0.902072,0.077945,0.09009400000000001,0.007881,0.31416900000000003,-0.066063,1.466968,5.38835,0.00065,0.399512,0.400163,0.0,0.004878,0.594959,2.2092,-0.8941,2.2056,2.4354,-0.9857,2.4315,2.8051,,,,,,,,2.1801,1.4267,0.09298200000000001,0.610888,0.610246,662900000.0,0.106456,0.14132,0.22537549015400582,0.6150793650793651
2014,-0.055563999999999995,-603080103.4,-0.102547,1896000000.0,3.8089,704000000.0,-1307080103.4,-1903080103.4,-870000000.0,-1040000000.0,173000000.0,-867000000.0,148000000.0,679000000.0,4633000000.0,4629000000.0,3400000000.0,3396000000.0,-870000000.0,6166000000.0,11.136,9.5765,16474848000.0,15635848000.0,6.0237,7.0046,2.8014,12.6827,0.020826,0.078847,8.2468,2.6587,,,,,,-1.7782759999999997,-2.087866,-1.596818,0.17647100000000002,0.302956,-2.147748,-2.158254,0.590604,0.110251,-1.995408,-2.4899709999999997,-2.000105,-0.098474,-0.051971,-2.0705880000000003,-3.402646,-0.087145,0.48138100000000006,-0.147424,-0.171059,-0.176841,0.22105100000000003,0.5186189999999999,0.536643,0.115797,0.6524399999999999,-1.119724,1.1163459999999998,0.400517,0.5281,4.234,8.815,10.1484,5.4319,86.2073,41.4066,67.1959,60.4179,-0.5216,3.4507,3.8521,1.2278,1.2292,-0.390596,1.130431,-1.5210270000000001,0.793384,0.402789,-0.8465540000000001,-0.093382,0.116728,0.00945,0.398982,0.173077,2.131538,-4.304054,0.0006490000000000001,0.550762,0.551411,0.0,0.005028,0.443561,-3.9216,1.0035,-3.917,-5.6377,1.4426,-5.6311,2.5169,,,,,,,,3.0573,2.3836,0.11545699999999999,0.787791,0.787111,-603080103.4,-0.102547,-0.197415,0.016087696920681224,0.5079365079365079
2015,-0.031626999999999995,696992366.4,0.122387,1975000000.0,2.9424,79000000.0,617992366.4,83992366.4,2071000000.0,983000000.0,150000000.0,1133000000.0,172000000.0,450000000.0,2430000000.0,2426000000.0,4349000000.0,4345000000.0,2138000000.0,4253000000.0,-0.5253,-2.6065,13813210000.0,15961210000.0,,,2.4255,22.6446,0.021962,0.044161,8.0816,2.8027,14.0876,16.2372,22.9001,15.6329,25.8275,2.3068049999999998,1.9451919999999998,2.1557209999999998,-0.528462,-0.429112,2.602826,1.472804,0.041667,-0.024328,2.61396,2.147025,2.395166,0.150094,0.170543,23.688889,11.504055000000001,0.292539,0.47743599999999997,0.198946,0.174539,0.17260799999999998,0.10763800000000001,0.522564,0.19403,0.108867,0.30289699999999997,0.668484,0.932859,0.2988,0.6069,4.1104,9.2855,10.9942,5.6257,88.7985,39.3086,64.8807,63.2264,0.4498,7.0296,6.5576,-45.2604,-45.3021,0.36011,0.139871,0.220239,0.099066,0.45917600000000003,0.319293,0.104747,0.06532,0.015356,0.452125,0.451876,5.634583999999999,5.936047,0.000941,1.0216319999999999,1.022572,0.0,0.0023510000000000002,-0.024924,3.8385,1.8869999999999998,3.835,6.2397,3.0675,6.2339,2.6895,,,,,,,,2.1062,1.5239,0.07901699999999999,0.42668999999999996,0.42598800000000003,696992366.4,0.122387,0.161018,0.03601329248814549,0.5
2016,0.060228,710490521.3,0.11767000000000001,2176000000.0,2.9092,201000000.0,509490521.3,148490521.3,3128000000.0,1055000000.0,295000000.0,1350000000.0,198000000.0,-226000000.0,804000000.0,800000000.0,4396000000.0,4392000000.0,3128000000.0,3444000000.0,-5.569,-14.5176,14348259000.0,17488259000.0,,,2.3763,25.6219,0.021072999999999998,0.039029,8.0369,2.8964,12.9543,16.5765,24.6143,15.0114,34.325,0.191527,0.073245,0.019366,-0.08319700000000001,0.072848,0.14103800000000002,-0.175571,0.101772,0.034435,0.046512,0.021297,-0.029372000000000002,-0.061770000000000005,-0.009174,0.09287100000000001,3.358651,-0.121163,0.475157,0.223584,0.176714,0.174727,0.093077,0.5248430000000001,0.206857,0.091587,0.29844299999999996,0.665877,0.8,0.334123,0.7184,4.3564,11.1388,9.4639,5.9178,83.7844,32.7682,61.678000000000004,54.8746,-4.9609,-16.0391,-12.8313,-4.6134,-4.6176,0.342323,0.057123,0.2852,-1.414842,-1.072519,0.24547800000000003,0.125528,0.06686900000000001,-0.020992,-1.095034,0.498221,1.996441,5.883838,0.001161,1.275261,1.2764229999999999,0.0,0.0034840000000000006,-0.279907,3.2563,2.3169999999999997,3.2533,6.1873,4.4026,6.1816,2.3426,,,,,,,,1.2999,0.8909,-0.03743,0.133157,0.132494,710490521.3,0.11767000000000001,0.139781,0.25324333791825393,0.5396825396825397
